approach,doc,evidence,job,job_type,notes,parent_job,persona,section,stage,user_story,why
Set ARGOCD_APPLICATIONSET_CONTROLLER_ENABLE_PROGRESSIVE_SYNCS=true in spec.applicationSet.env,argocd_application_sets,Lines 707-744: Setting the env environment variable in the Argo CD CR,Control progressive application rollouts,user_story,Alternative to extraCommandArgs. Operator automatically reconciles. Source: modules/gitops-setting-env-to-argo-cd.adoc (PROCEDURE),Control progressive application rollouts,Cluster Administrator,Setting the env environment variable in the Argo CD CR,CONFIGURE,Enable Progressive Sync using environment variable,To enable Progressive Sync using the environment variable method
Review creation and deletion strategy options for ApplicationSets,argocd_application_sets,Lines 755-773: Understanding ApplicationSet strategies,Control progressive application rollouts,user_story,Two components: creation strategy (type field) and deletion strategy (deletionOrder field). Finalizer prevents removal until all apps deleted. Source: modules/gitops-applicationset-strategies.adoc (CONCEPT),Control progressive application rollouts,Platform Engineer,Understanding ApplicationSet strategies,LEARN,Understand ApplicationSet lifecycle strategies,To choose appropriate strategies for controlling application deployment patterns and cleanup sequences
Evaluate AllAtOnce for simultaneous updates vs RollingSync for staged rollouts,argocd_application_sets,Lines 784-803: Understanding creation strategies,Control progressive application rollouts,user_story,"AllAtOnce = default, all apps simultaneously. RollingSync = staged by labels. Apps not matched by any step must be manually synced. Source: modules/gitops-applicationset-creation-strategies.adoc (CONCEPT)",Control progressive application rollouts,Platform Engineer,Understanding creation strategies,PLAN,Choose between AllAtOnce and RollingSync creation,To select the creation strategy that matches deployment risk tolerance and dependency requirements
Set spec.strategy.type to AllAtOnce in ApplicationSet,argocd_application_sets,Lines 815-946: Configuring AllAtOnce creation strategy,Control progressive application rollouts,user_story,Default behavior. Suitable for independent applications without dependencies. Source: modules/gitops-configuring-allatonce-creation-strategy.adoc (PROCEDURE) and modules/gitops-example-allatonce-creation-strategy.adoc (REFERENCE),Control progressive application rollouts,Platform Engineer,Configuring AllAtOnce creation strategy,CONFIGURE,Deploy applications simultaneously with AllAtOnce,To update all applications managed by the ApplicationSet at the same time
Set spec.strategy.type to RollingSync and define steps with label selectors,argocd_application_sets,Lines 957-1144: Configuring RollingSync strategy,Control progressive application rollouts,user_story,Requires labels on generated apps. Steps process sequentially. maxUpdate controls concurrent updates within a step. Progressive Sync panel displays rollout status in UI. Source: modules/gitops-configuring-rollingsync-strategy-enhanced.adoc (PROCEDURE) and modules/gitops-example-rollingsync-progressive-sync.adoc (REFERENCE),Control progressive application rollouts,Platform Engineer,Configuring RollingSync strategy,CONFIGURE,Deploy applications in stages with RollingSync,To control deployment progression through environment stages and reduce risk with staged rollouts
Review AllAtOnce and Reverse deletion strategies,argocd_application_sets,Lines 1155-1177: Understanding deletion strategies,Control progressive application rollouts,user_story,"AllAtOnce = default, all deleted simultaneously. Reverse = delete in reverse order of rollingSync.steps. Useful for dependent services. Source: modules/gitops-applicationset-deletion-strategies.adoc (CONCEPT)",Control progressive application rollouts,Platform Engineer,Understanding deletion strategies,LEARN,Understand deletion order strategies,To choose appropriate strategy for tearing down applications in the correct order
Set spec.strategy.deletionOrder to AllAtOnce,argocd_application_sets,Lines 1189-1328: Configuring AllAtOnce deletion strategy,Control progressive application rollouts,user_story,Default deletion behavior. Works with both AllAtOnce and RollingSync creation strategies. Finalizer ensures cleanup before ApplicationSet removed. Source: modules/gitops-configuring-allatonce-deletion-strategy.adoc (PROCEDURE) and modules/gitops-example-allatonce-deletion-strategy.adoc (REFERENCE),Control progressive application rollouts,Platform Engineer,Configuring AllAtOnce deletion strategy,CONFIGURE,Delete applications simultaneously with AllAtOnce,To remove all applications at the same time when they don't have deletion dependencies
Set spec.strategy.deletionOrder to Reverse with RollingSync type,argocd_application_sets,Lines 1339-1490: Configuring ApplicationSet reverse deletion order,Control progressive application rollouts,user_story,Requires type: RollingSync with defined rollingSync.steps. Deletes in reverse order of steps. Source: modules/gitops-configuring-applicationset-reverse-deletion-strategy.adoc (PROCEDURE) and modules/gitops-example-reverse-deletion-order.adoc (REFERENCE),Control progressive application rollouts,Platform Engineer,Configuring ApplicationSet reverse deletion order,CONFIGURE,Delete applications in reverse order,"To ensure dependent services are deleted in the correct sequence (e.g., frontend before backend)"
Verify Progressive Sync is enabled and ApplicationSet uses RollingSync strategy,argocd_application_sets,Lines 1501-1539: Troubleshooting Progressive Sync,Control progressive application rollouts,user_story,Common issues: section not appearing or Unknown state. Verify RollingSync strategy and Progressive Sync enabled in ArgoCD CR. Source: modules/gitops-troubleshooting-progressive-sync.adoc (CONCEPT) and modules/gitops-troubleshooting-progressive-sync-section-not-appearing.adoc (PROCEDURE),Control progressive application rollouts,Platform Engineer,Troubleshooting Progressive Sync,TROUBLESHOOT,Troubleshoot Progressive Sync visibility issues,To diagnose why the Progressive Sync panel is not appearing in the Application details view
"Check labels, annotations, namespace location, and ApplicationSet controller logs",argocd_application_sets,Lines 1550-1558: Troubleshooting when application shows Unknown state,Control progressive application rollouts,user_story,"Verify labels/annotations, same namespace as ArgoCD instance, and check controller logs. Source: modules/gitops-troubleshooting-progressive-sync-unknown-state.adoc (CONCEPT)",Control progressive application rollouts,Platform Engineer,Troubleshooting when application shows Unknown state,TROUBLESHOOT,Diagnose Unknown application state in Progressive Sync,To resolve Unknown state errors in Progressive Sync status
Use the Progressive Sync status panel in Argo CD Web UI,argocd_application_sets,Lines 611-623: Overview of enabling Progressive Sync,Monitor progressive deployment health,main_job,"Displays rollout wave, health, and messages for each application. Available when RollingSync strategy configured. Source: modules/gitops-overview-enabling-progressive-sync.adoc (CONCEPT)",,Platform Engineer,Overview of enabling Progressive Sync,MONITOR,,"To track rollout progress, identify bottlenecks, and ensure compliance with deployment policies"
