approach,evidence,job,module_path,module_type,notes,parent_job,parent_story,persona,record_type,stage,steps,task,user_story
Declarative,Lines 763-869: Configuring the Argo CD CR of your user-defined cluster-scoped Argo CD instance with the target namespaces,,modules/gitops-configuring-argo-cd-cr-of-your-user-defined-cluster-scoped-instance-with-target-namespaces.adoc,PROCEDURE,,Manage applications in non-control plane namespaces,,Cluster Administrator,user_story,CONFIGURE,,,"When I want to enable multitenancy, I want to configure target namespaces in the ArgoCD CR, so I can allow teams to manage applications in their own namespaces"
Declarative,Lines 775-847,,,PROCEDURE,,,"When I want to enable multitenancy, I want to configure target namespaces in the ArgoCD CR, so I can allow teams to manage applications in their own namespaces",Cluster Administrator,task,CONFIGURE,Log in to OpenShift cluster as administrator; Navigate to Installed Operators; Select project with cluster-scoped Argo CD instance; Go to Argo CD tab and select instance; Edit YAML of ArgoCD CR; Set sourceNamespaces parameter with target namespaces; Save and reload; Verify Operator adds managed-by-cluster-argocd label,Configure ArgoCD CR with source namespaces,
Declarative,Lines 882-939: Creating and configuring a user-defined AppProject instance with the target namespaces,,modules/gitops-creating-and-configuring-user-defined-appproject-instance-with-target-namespaces.adoc,PROCEDURE,,Manage applications in non-control plane namespaces,,Cluster Administrator,user_story,CONFIGURE,,,"When target namespaces are configured, I want to create an AppProject for those namespaces, so I can define deployment policies and permissions"
Declarative,Lines 900-939,,,PROCEDURE,,,"When target namespaces are configured, I want to create an AppProject for those namespaces, so I can define deployment policies and permissions",Cluster Administrator,task,CONFIGURE,Select openshift-gitops project; Navigate to GitOps Operator and AppProject tab; Click Create AppProject; Enter configuration in YAML with sourceNamespaces field; Specify destinations and source repos; Click Create; Verify AppProject is created,Create user-defined AppProject with source namespaces,
Declarative,Lines 950-1001: Creating and configuring the Application CR to reference the target namespace and user-defined AppProject instance,,modules/gitops-creating-and-configuring-the-app-cr-to-reference-the-target-namespace-and-user-defined-appproject-instance.adoc,PROCEDURE,,Manage applications in non-control plane namespaces,,Cluster Administrator,user_story,EXECUTE,,,"When the AppProject is configured, I want to create Applications referencing the target namespace and project, so I can deploy to non-control plane namespaces"
Declarative,Lines 963-1000,,,PROCEDURE,,,"When the AppProject is configured, I want to create Applications referencing the target namespace and project, so I can deploy to non-control plane namespaces",Cluster Administrator,task,EXECUTE,Select target namespace from Project list; Navigate to GitOps Operator and Application tab; Click Create Application; Enter configuration with metadata.namespace and spec.project fields; Click Create; Verify application is created and has Healthy and Synced status,Create Application CR in target namespace,
,Lines 1107-1365: Managing application links with the managed-by-url annotation,Manage application links in multi-instance Argo CD environments,,,Ensure correct application link routing in app-of-apps patterns with multiple Argo CD instances,,,Platform Architect,main_job,CONFIGURE,,,
Conceptual,Lines 1124-1142: Overview of the managed-by-url annotation,,modules/gitops-overview-managed-by-url-annotation.adoc,CONCEPT,,Manage application links in multi-instance Argo CD environments,,Platform Architect,user_story,UNDERSTAND,,,"When I have multiple Argo CD instances, I want to understand how the managed-by-url annotation works, so I can plan my architecture correctly"
Declarative,Lines 1154-1229: Configuring the managed-by-url annotation,,modules/gitops-configuring-managed-by-url-annotation.adoc,PROCEDURE,,Manage application links in multi-instance Argo CD environments,,Platform Architect,user_story,CONFIGURE,,,"When I use the app-of-apps pattern with multiple instances, I want to configure the managed-by-url annotation, so I can ensure child applications open in the correct Argo CD instance"
Declarative,Lines 1167-1229,,,PROCEDURE,,,"When I use the app-of-apps pattern with multiple instances, I want to configure the managed-by-url annotation, so I can ensure child applications open in the correct Argo CD instance",Platform Architect,task,CONFIGURE,Create parent Application in primary Argo CD instance; Add managed-by-url annotation to child Application definition in Git; Specify secondary Argo CD instance URL in annotation; Apply or sync parent Application; Verify link opens in correct instance,Add managed-by-url annotation to child applications,
Reference,Lines 1241-1288: Managed-by-url annotation reference,,modules/gitops-managed-by-url-annotation-reference.adoc,REFERENCE,,Manage application links in multi-instance Argo CD environments,,Platform Architect,user_story,UNDERSTAND,,,"When configuring the annotation, I want to understand the valid URL format, so I can avoid configuration errors"
Diagnostic,Lines 1300-1359: Troubleshooting the managed-by-url annotation,,modules/gitops-troubleshooting-managed-by-url-annotation.adoc,PROCEDURE,,Manage application links in multi-instance Argo CD environments,,Platform Architect,user_story,TROUBLESHOOT,,,"When application links are not working, I want to troubleshoot the managed-by-url annotation, so I can fix link routing issues"
Diagnostic,Lines 1305-1358,,,PROCEDURE,,,"When application links are not working, I want to troubleshoot the managed-by-url annotation, so I can fix link routing issues",Platform Architect,task,TROUBLESHOOT,Check if annotation is present using kubectl; Verify URL is reachable from browser; Check browser console for errors; Ensure URL includes correct protocol; Verify child Application exists in cluster; Check parent Application sync status,Diagnose managed-by-url annotation issues,
