job_category,job_number,job_name,job_statement,parent_job,job_coverage,module_file,module_status,module_note,job_notes
Configure,37,Route internal traffic for a single cluster,"When operating an isolated cluster, I want to manage local DNS entries internally, so I can route internal traffic securely without external cloud dependencies.",,full,modules/proc-use-coredns-single-cluster.adoc,full,from coredns assembly,
Configure,37,Route internal traffic for a single cluster,"When operating an isolated cluster, I want to manage local DNS entries internally, so I can route internal traffic securely without external cloud dependencies.",,full,modules/con-about-using-onprem-dns-coredns.adoc,full,from coredns assembly,
Configure,38,Distribute traffic across multiple on-premise clusters,"When running workloads across several internal clusters, I want to delegate DNS between primary and secondary clusters, so I can ensure high availability, failover, and geographic distribution.",,partial,modules/proc-use-coredns-multicluster.adoc,full,from coredns assembly,Some aspects of the job may lack dedicated documentation
Configure,38,Distribute traffic across multiple on-premise clusters,"When running workloads across several internal clusters, I want to delegate DNS between primary and secondary clusters, so I can ensure high availability, failover, and geographic distribution.",,partial,modules/con-rhcl-coredns-arch.adoc,partial,Architecture for primary/secondary delegation,Some aspects of the job may lack dedicated documentation
Configure,46,Create a Gateway object for your MCP gateway deployment,"When I have installed the MCP gateway, I want to create a Gateway object with listeners, so I can HTTP routes a place to connect for handling MCP traffic.",,full,modules/proc-config-mcp-gateway-gateway.adoc,full,from mcp-gateway-install assembly,
Configure,47,Configure MCP gateway listeners,"When I have created a Gateway object, I want to configure MCP, HTTP, and HTTPS listeners, so I can control which transport protocols and ports are available for agentic AI connections.",,full,modules/proc-config-mcp-gateway-listener.adoc,full,from mcp-gateway-install assembly,
Configure,52,Apply a ReferenceGrant custom resource,"When I need to isolate teams within a single cluster, I want to apply team-specific MCPGatewayExtension custom resources (CRs) in individual namespaces that all target a shared Gateway object, so that I can give the teams the accesst that I want.",,partial,modules/proc-mcp-gateway-referencegrant.adoc,full,from mcp-gateway-install assembly,Some aspects of the job may lack dedicated documentation
Configure,52,Apply a ReferenceGrant custom resource,"When I need to isolate teams within a single cluster, I want to apply team-specific MCPGatewayExtension custom resources (CRs) in individual namespaces that all target a shared Gateway object, so that I can give the teams the accesst that I want.",,partial,modules/con-mcp-gateway-isolated-deployment.adoc,partial,from mcp-gateway-isolated-deployment assembly,Some aspects of the job may lack dedicated documentation
Configure,52,Apply a ReferenceGrant custom resource,"When I need to isolate teams within a single cluster, I want to apply team-specific MCPGatewayExtension custom resources (CRs) in individual namespaces that all target a shared Gateway object, so that I can give the teams the accesst that I want.",,partial,modules/proc-mcp-gateway-deploy-isolated-instances.adoc,partial,from mcp-gateway-isolated-deployment assembly,Some aspects of the job may lack dedicated documentation
Configure,54,Apply a customized HTTPRoute object,"When my production environment requires custom routing rules such as CORS headers, OAuth integration, or additional path rules, I want to create and apply a customized HTTPRoute CR, so I can tailor traffic routing to meet my specific security and integration requirements.",,full,modules/proc-mcp-gateway-custom-route.adoc,full,from mcp-gateway-install assembly,
Configure,69,Configure access logs,"When I need to track requests across services, I want to configure Envoy access logs in Service Mesh, so I can trace individual requests using unique identifiers and diagnose issues.",,full,modules/proc-obs-configure-access-logs.adoc,full,from observability assembly,
Configure,78,Configure an AuthPolicy with identity injection,"When I need to capture authenticated user identities in access logs, I want to create AuthPolicy CRs for both MCP gateway listeners, so I can inject the authenticated username into request headers for audit logging.",,full,modules/proc-mcp-gateway-config-authpolicy-with-id-injection.adoc,full,from mcp-gateway-observe assembly,
Configure,79,Verify AuthPolicy identity injection,"When I have configured AuthPolicy identity injection, I want to verify that the x-auth-identity header is being injected correctly, so I can confirm my audit trail captures authenticated user identities.",,full,modules/proc-mcp-gateway-verify-authpolicy-id-inject.adoc,full,from mcp-gateway-observe assembly,
Configure,91,Connecting MCP servers to the gateway,"When I have MCP servers, I want to register them with the MCP gateway, so I can enable the discovery of their tools and prompts.",,full,modules/con-mcp-gateway-register-mcp-server.adoc,full,from mcp-gateway-register-on-prem-mcp-servers assembly,
Configure,91,Connecting MCP servers to the gateway,"When I have MCP servers, I want to register them with the MCP gateway, so I can enable the discovery of their tools and prompts.",,full,modules/proc-mcp-gateway-register-mcp-server.adoc,full,from mcp-gateway-register-on-prem-mcp-servers assembly,
Configure,92,Understand MCP server registration,"When I need to register MCP servers, I want to understand how registration, prefixing, and routing work, so I can plan my server topology correctly.",,full,modules/con-mcp-gateway-register-mcp-server.adoc,full,from mcp-gateway-register-on-prem-mcp-servers assembly,
Configure,92,Understand MCP server registration,"When I need to register MCP servers, I want to understand how registration, prefixing, and routing work, so I can plan my server topology correctly.",,full,modules/ref-mcp-gateway-mcpserverregistration-cr.adoc,full,from mcp-gateway-register-on-prem-mcp-servers assembly,
Configure,93,Register an MCP server for use with the MCP gateway,"When I have an on-prem MCP server, I want to create HTTPRoute and MCPServerRegistration CRs, so I can connect the server to the gateway.",,full,modules/proc-mcp-gateway-register-mcp-server.adoc,full,from mcp-gateway-register-on-prem-mcp-servers assembly,
Configure,95,Verify an MCP server registration,"When I have registered an MCP server, I want to verify that tools and prompts are available through the gateway, so I can confirm the registration succeeded.",,full,modules/proc-mcp-gateway-verify-mcp-server-registration.adoc,full,from mcp-gateway-register-on-prem-mcp-servers assembly,
Configure,96,Register external MCP servers,"When I have external MCP servers, I want to register them with the MCP gateway through Istio ingress, so I can route AI agent traffic to external services securely.",,full,modules/proc-register-ext-mcp-server-ingress.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,96,Register external MCP servers,"When I have external MCP servers, I want to register them with the MCP gateway through Istio ingress, so I can route AI agent traffic to external services securely.",,full,modules/proc-register-ext-mcp-server-httproute.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,96,Register external MCP servers,"When I have external MCP servers, I want to register them with the MCP gateway through Istio ingress, so I can route AI agent traffic to external services securely.",,full,modules/proc-register-ext-mcp-server-mcpserverregistration.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,97,Create a ServiceEntry for an external MCP server,"When I need to connect to an external MCP server, I want to create a ServiceEntry CR, so I can establish an ingress pathway through Istio.",,full,modules/proc-register-ext-mcp-server-ingress.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,99,Create an HTTPRoute for an external MCP server,"When I need to route traffic to an external MCP server, I want to create an HTTPRoute CR with URL rewriting, so I can map internal hostnames to external services.",,full,modules/proc-register-ext-mcp-server-httproute.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,102,Create an MCPServerRegistration for an external MCP server,"When I have configured ingress and credentials for an external MCP server, I want to create an MCPServerRegistration CR, so I can register the external server with the gateway.",,full,modules/proc-register-ext-mcp-server-mcpserverregistration.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,103,Verify that your external MCP server is ready to use,"When I have registered an external MCP server, I want to verify its status, so I can confirm the server is ready and tools are discovered.",,full,modules/proc-register-ext-mcp-server-verify.adoc,full,from mcp-gateway-register-ext-mcp-servers assembly,
Configure,104,Create virtual MCP servers,"When I have multiple registered MCP servers, I want to create virtual MCP servers, so I can curate focused tool and prompt collections for specific use cases.",,full,modules/proc-mcp-gateway-create-virt-mcp-server.adoc,full,from mcp-gateway-create-virtual-mcp-servers assembly,
Configure,105,Virtual MCP servers,"When I am planning tool organization, I want to understand virtual MCP servers, so I can decide how to group tools and prompts for different use cases.",,full,modules/con-register-virt-mcp-server.adoc,full,from mcp-gateway-create-virtual-mcp-servers assembly,
Configure,106,Virtual MCP servers authorization and filtering,"When I have both authentication and virtual MCP servers configured, I want to understand how filters interact, so I can predict which tools users see.",,full,modules/con-virt-mcp-server-auth-tool-filtering.adoc,full,from mcp-gateway-create-virtual-mcp-servers assembly,
Configure,107,Create virtual MCP servers,"When I need to curate tool collections, I want to create MCPVirtualServer CRs, so I can expose specific tools and prompts to different clients.",,full,modules/proc-mcp-gateway-create-virt-mcp-server.adoc,full,from mcp-gateway-create-virtual-mcp-servers assembly,
Configure,108,Verify virtual MCP servers,"When I have created virtual MCP servers, I want to verify they return the correct tools and prompts, so I can confirm the curation is accurate.",,full,modules/proc-verify-virt-mcp-server.adoc,full,from mcp-gateway-create-virtual-mcp-servers assembly,
Configure,128,Connect and route traffic across multi-cloud environments,"When deploying applications across multiple clusters or clouds, I want to automate traffic routing and failover, so I can ensure high availability and prevent downtime.",,partial,modules/proc-set-dns-policy.adoc,full,from deployment assembly,Some aspects of the job may lack dedicated documentation
Configure,128,Connect and route traffic across multi-cloud environments,"When deploying applications across multiple clusters or clouds, I want to automate traffic routing and failover, so I can ensure high availability and prevent downtime.",,partial,modules/con-connectivity-link-platform-eng-work.adoc,partial,Multicluster platform workflow,Some aspects of the job may lack dedicated documentation
Configure,128,Connect and route traffic across multi-cloud environments,"When deploying applications across multiple clusters or clouds, I want to automate traffic routing and failover, so I can ensure high availability and prevent downtime.",,partial,modules/proc-use-coredns-multicluster.adoc,partial,On-prem multicluster DNS,Some aspects of the job may lack dedicated documentation
Configure,137,Configure per-user or per-consumer rate limiting,"When I need to enforce fair usage or billing limits per API consumer, I want to configure RateLimitPolicy with user identity as the counter key, so I can apply individual rate limits rather than a single global limit.",,partial,modules/proc-app-dev-override-rlp.adoc,partial,Per-user override exists but not per-consumer counter key configuration,NEW job; Some aspects of the job may lack dedicated documentation
Configure,137,Configure per-user or per-consumer rate limiting,"When I need to enforce fair usage or billing limits per API consumer, I want to configure RateLimitPolicy with user identity as the counter key, so I can apply individual rate limits rather than a single global limit.",,partial,modules/proc-set-default-rate-limit-policy.adoc,partial,Global rate limit only,NEW job; Some aspects of the job may lack dedicated documentation
Configure,146,Configure DNS for hybrid or on-premises environments with an external load balancer,"When my on-premises gateway is exposed through an external load balancer such as F5 or HAProxy that Connectivity Link cannot discover automatically, I want to understand the recommended DNS management approach, so I can publish correct records for external client traffic.",,partial,modules/con-mcp-gateway-dns-management.adoc,partial,Covers MetalLB/manual DNS; limited guidance for external LB discovery gaps (F5/HAProxy),NEW job; Some aspects of the job may lack dedicated documentation
Configure,147,Configure custom error responses,"When my APIs return authentication, authorization, or rate limit errors, I want to configure custom JSON error response bodies and headers in my AuthPolicy or RateLimitPolicy, so I can provide meaningful error messages to API consumers instead of default gateway responses.",,gap,,gap,No existing module covers this job,NEW job
Develop,85,Manage and share internal APIs,"When building services that other teams need to use, I want to publish them in a self-service catalog with clear access controls, so I can easily share capabilities while maintaining governance.",,partial,modules/con-rhcl-api-management-console-pages.adoc,full,from rhcl-api-management assembly,Some aspects of the job may lack dedicated documentation
Develop,85,Manage and share internal APIs,"When building services that other teams need to use, I want to publish them in a self-service catalog with clear access controls, so I can easily share capabilities while maintaining governance.",,partial,modules/proc-rhcl-publish-api-for-consumers.adoc,partial,Publishing workflow,Some aspects of the job may lack dedicated documentation
Develop,86,API management role-based-access reference,"When I need to configure access control for API management users, I want to understand the predefined cluster roles and binding requirements, so I can assign the right permissions to API consumers, owners, and administrators.",,partial,modules/ref-rhcl-api-management-rbac.adoc,full,from rhcl-api-management assembly,Some aspects of the job may lack dedicated documentation
Develop,86,API management role-based-access reference,"When I need to configure access control for API management users, I want to understand the predefined cluster roles and binding requirements, so I can assign the right permissions to API consumers, owners, and administrators.",,partial,modules/ref-rhcl-api-crds.adoc,partial,from rhcl-api-management assembly,Some aspects of the job may lack dedicated documentation
Develop,86,API management role-based-access reference,"When I need to configure access control for API management users, I want to understand the predefined cluster roles and binding requirements, so I can assign the right permissions to API consumers, owners, and administrators.",,partial,modules/ref-rhcl-api-management-auth-methods.adoc,partial,from rhcl-api-management assembly,Some aspects of the job may lack dedicated documentation
Develop,87,Control who can access your published API,"When developers request access to my API, I want to review their use cases and approve or reject requests, so I can ensure only legitimate consumers with valid business needs access my API.",,full,modules/proc-rhcl-manage-api-access-requests.adoc,full,from rhcl-api-management assembly,
Develop,88,"Create, share, and consume APIs across teams","When I need to make internal APIs discoverable and control access, I want to publish API products in a self-service catalog, so developers can discover APIs, request access, and receive credentials.",,full,modules/con-rhcl-api-management-console-pages.adoc,full,from rhcl-api-management assembly,
Develop,88,"Create, share, and consume APIs across teams","When I need to make internal APIs discoverable and control access, I want to publish API products in a self-service catalog, so developers can discover APIs, request access, and receive credentials.",,full,modules/proc-rhcl-publish-api-for-consumers.adoc,full,from rhcl-api-management assembly,
Develop,88,"Create, share, and consume APIs across teams","When I need to make internal APIs discoverable and control access, I want to publish API products in a self-service catalog, so developers can discover APIs, request access, and receive credentials.",,full,modules/proc-rhcl-access-published-api.adoc,full,from rhcl-api-management assembly,
Develop,89,Publishing an API for other teams to discover and consume,"When I have an internal API that other teams need, I want to publish it as an API product in the self-service catalog, so developers from other teams can discover it, understand how to use it, and request access.",,full,modules/proc-rhcl-publish-api-for-consumers.adoc,full,from rhcl-api-management assembly,
Develop,90,Integrate with an API published by another team,"When I need to call an API owned by another team, I want to browse the catalog, request access, and retrieve credentials, so I can authenticate my application and integrate with the service.",,full,modules/proc-rhcl-access-published-api.adoc,full,from rhcl-api-management assembly,
Develop,150,Configure multi-tenant RBAC for the Connectivity Link console plugin,"When multiple teams share a cluster and each needs to manage their own gateways and policies through the console plugin, I want to configure RBAC so users can only view and manage resources in their own namespaces, so I can enable self-service API management without granting cluster-wide permissions.",Configure,partial,modules/ref-rhdh-plugin-rbac.adoc,partial,from rhdh-plugin-installation assembly,NEW job; Some aspects of the job may lack dedicated documentation
Develop,150,Configure multi-tenant RBAC for the Connectivity Link console plugin,"When multiple teams share a cluster and each needs to manage their own gateways and policies through the console plugin, I want to configure RBAC so users can only view and manage resources in their own namespaces, so I can enable self-service API management without granting cluster-wide permissions.",Configure,partial,modules/proc-rhdh-plugin-rbac-customizing.adoc,partial,RHDH plugin RBAC; OCP console plugin RBAC not fully covered,NEW job; Some aspects of the job may lack dedicated documentation
Develop,150,Configure multi-tenant RBAC for the Connectivity Link console plugin,"When multiple teams share a cluster and each needs to manage their own gateways and policies through the console plugin, I want to configure RBAC so users can only view and manage resources in their own namespaces, so I can enable self-service API management without granting cluster-wide permissions.",Configure,partial,modules/proc-rhcl-enable-console-plugin.adoc,partial,Console plugin enablement only,NEW job; Some aspects of the job may lack dedicated documentation
Discover,1,Understanding Connectivity Link,"When I am evaluating API gateway solutions for OpenShift, I want to understand what Red Hat Connectivity Link is and what it does, so I can determine if it meets my organization's needs.",,full,modules/con-about-connectivity-link.adoc,full,from rhcl-introduction assembly,
Discover,2,Connectivity Link architecture,"When I am learning about Connectivity Link architecture, I want to understand its capabilities so that I can plan my deployment.",,partial,modules/con-about-connectivity-link.adoc,partial,High-level overview; no dedicated architecture module,Some aspects of the job may lack dedicated documentation
Discover,2,Connectivity Link architecture,"When I am learning about Connectivity Link architecture, I want to understand its capabilities so that I can plan my deployment.",,partial,modules/con-connectivity-link-platform-eng-work.adoc,partial,from deployment assembly,Some aspects of the job may lack dedicated documentation
Discover,2,Connectivity Link architecture,"When I am learning about Connectivity Link architecture, I want to understand its capabilities so that I can plan my deployment.",,partial,modules/con-connectivity-link-app-dev-work.adoc,partial,from connect-secure-apis-services assembly,Some aspects of the job may lack dedicated documentation
Discover,3,MCP gateway architecture,"When I am planning to deploy the MCP gateway, I want to understand the architectural design and its relationship to Envoy, Gateway API, and Istio, so I can assess how it integrates with my existing OpenShift infrastructure.",,full,modules/con-about-mcp-gateway.adoc,full,from mcp-gateway-introduction assembly,
Discover,3,MCP gateway architecture,"When I am planning to deploy the MCP gateway, I want to understand the architectural design and its relationship to Envoy, Gateway API, and Istio, so I can assess how it integrates with my existing OpenShift infrastructure.",,full,modules/con-mcp-gateway-architecture.adoc,full,from mcp-gateway-introduction assembly,
Discover,3,MCP gateway architecture,"When I am planning to deploy the MCP gateway, I want to understand the architectural design and its relationship to Envoy, Gateway API, and Istio, so I can assess how it integrates with my existing OpenShift infrastructure.",,full,modules/con-mcp-gateway-arch-components.adoc,full,from mcp-gateway-introduction assembly,
Install,5,Install Connectivity Link,"When I need to deploy Connectivity Link on OpenShift, I want to install the Operator and create the Kuadrant CR, so I can manage API traffic policies across my clusters.",,partial,modules/con-install-getting-ready.adoc,full,from install-guide assembly,Some aspects of the job may lack dedicated documentation
Install,5,Install Connectivity Link,"When I need to deploy Connectivity Link on OpenShift, I want to install the Operator and create the Kuadrant CR, so I can manage API traffic policies across my clusters.",,partial,modules/proc-install-on-openshift-cli-cio.adoc,full,from install-guide assembly,Some aspects of the job may lack dedicated documentation
Install,5,Install Connectivity Link,"When I need to deploy Connectivity Link on OpenShift, I want to install the Operator and create the Kuadrant CR, so I can manage API traffic policies across my clusters.",,partial,modules/proc-set-up-environment.adoc,partial,from deployment assembly,Some aspects of the job may lack dedicated documentation
Install,5,Install Connectivity Link,"When I need to deploy Connectivity Link on OpenShift, I want to install the Operator and create the Kuadrant CR, so I can manage API traffic policies across my clusters.",,partial,modules/con-connectivity-link-platform-eng-work.adoc,partial,Post-install platform workflow overview,Some aspects of the job may lack dedicated documentation
Install,8,Install Connectivity Link with the OpenShift web console,"When I prefer a graphical interface for installation, I want to install Connectivity Link through the OpenShift web console, so I can deploy Connectivity Link without using the CLI.",,full,modules/proc-install-in-openshift-web-console.adoc,full,from install-guide assembly,
Install,9,Install Connectivity Link on OpenShift from the command line,"When I need to automate or script the installation, I want to install Connectivity Link from the CLI, so I can deploy consistently across multiple clusters.",,full,modules/proc-install-on-openshift-cli-cio.adoc,full,from install-guide assembly,
Install,10,Install Connectivity Link on OpenShift from the CLI with Istio as Gateway controller,"When I am using OpenShift Service Mesh with Istio, I want to install Connectivity Link with Istio as the Gateway controller, so I can integrate with my existing service mesh infrastructure.",,full,modules/proc-install-on-ocp-cli-istio.adoc,full,from install-guide assembly,
Install,17,Install Connectivity Link in a disconnected environment,"When I operate in an air-gapped or restricted network, I want to install Connectivity Link in a disconnected environment, so I can use API traffic management in my secure, isolated clusters.",,full,modules/con-rhcl-install-disconnected.adoc,full,from rhcl-install-disconnected assembly,
Install,18,Mirror the Connectivity Link Operator catalog,"When I am preparing a disconnected installation, I want to mirror the Red Hat Operator catalog to my internal registry, so I can make Connectivity Link images available in my isolated environment.",,full,modules/proc-rhcl-disconnected-mirror-catalog.adoc,full,from rhcl-install-disconnected assembly,
Install,44,Install MCP gateway,"When I need to enable agentic AI systems to communicate through a centralized MCP protocol gateway, I want to install and configure the MCP gateway on OpenShift, so I can manage MCP server connections, routing, and security from a single control plane.",,partial,modules/proc-mcp-gateway-install-olm.adoc,full,from mcp-gateway-install assembly,Some aspects of the job may lack dedicated documentation
Install,44,Install MCP gateway,"When I need to enable agentic AI systems to communicate through a centralized MCP protocol gateway, I want to install and configure the MCP gateway on OpenShift, so I can manage MCP server connections, routing, and security from a single control plane.",,partial,modules/proc-config-mcp-gateway-gateway.adoc,partial,Gateway creation step,Some aspects of the job may lack dedicated documentation
Install,44,Install MCP gateway,"When I need to enable agentic AI systems to communicate through a centralized MCP protocol gateway, I want to install and configure the MCP gateway on OpenShift, so I can manage MCP server connections, routing, and security from a single control plane.",,partial,modules/proc-config-mcp-gateway-listener.adoc,partial,Listener configuration step,Some aspects of the job may lack dedicated documentation
Install,44,Install MCP gateway,"When I need to enable agentic AI systems to communicate through a centralized MCP protocol gateway, I want to install and configure the MCP gateway on OpenShift, so I can manage MCP server connections, routing, and security from a single control plane.",,partial,modules/proc-mcp-gateway-install-olm-ext-cr.adoc,partial,Extension CR application,Some aspects of the job may lack dedicated documentation
Install,45,Install the MCP gateway with OLM,"When I am setting up the MCP gateway for the first time, I want to install the MCP gateway Operator using OLM with the CLI, so I can deploy the controller that manages MCP gateway instances.",,full,modules/proc-mcp-gateway-install-olm.adoc,full,from mcp-gateway-install assembly,
Install,49,Apply the MCPGatewayExtension custom resource,"When I have configured my Gateway and listeners, I want to apply an MCPGatewayExtension CR, so I can deploy the MCP gateway broker and automatically create the HTTPRoute and Envoy filter needed for MCP traffic routing.",,full,modules/proc-mcp-gateway-install-olm-ext-cr.adoc,full,from mcp-gateway-install assembly,
Install,55,Verify that an MCP endpoint is accessible through your MCP gateway,"When I have completed the MCP gateway installation and configuration, I want to verify that the MCP endpoint is accessible, so I can confirm end-to-end connectivity before registering MCP servers.",,full,modules/proc-mcp-gateway-config-verify.adoc,full,from mcp-gateway-install assembly,
Install,140,Set up Connectivity Link across multiple clusters,"When I want to manage API policies across multiple clusters from a single control plane, I want to configure the multi-cluster topology with a hub cluster and managed clusters, so I can apply consistent gateway policies across my fleet.",,partial,modules/con-connectivity-link-platform-eng-work.adoc,partial,Mentions multicluster but no hub/spoke topology procedure,NEW job; Some aspects of the job may lack dedicated documentation
