alternatives_considered,anti_jobs,circumstance,complexity,content_gap,content_needs,context,context_tags,contextual_dimension,cross_references,customer_segment,desired_outcomes,difficulty,doc,doc_type,emotional_dimension,emotional_need,evidence,expected_outcome,frequency,functional_dimension,functional_need,goal,granularity,id,importance,job,job_id,job_map_stage,job_performer,job_statement,job_type,linked_adoc_modules,motivation,notes,original_section_title,outcome,pain_point,pain_points,parent_job,persona,prerequisites,primary_persona,priority,related_jobs,satisfaction_with_current_solution,secondary_persona,section,situation,social_need,source_url,strategic_value,success_criteria,supporting_personas,task_type,taxonomy_category,user_persona,workflow_stage
,"['Update the GitOps Operator', 'Disable the GitOps Operator temporarily']",,Low,,"['Web console navigation steps', 'Operator identification guidance', 'Uninstall confirmation process']","After deleting all Argo CD instances, when I need to complete the removal of GitOps from my cluster",,,,,,,,,,,"uninstalling-openshift-gitops-reduced.adoc -> Section 'Uninstalling the GitOps Operator', lines 52-65 [module: modules/go-uninstalling-gitops-operator.adoc, type: PROCEDURE]",,Low,,,So that I can fully remove the GitOps Operator and reclaim cluster resources,,,,,,,,Uninstall the GitOps Operator from OpenShift,,,,Source module: modules/go-uninstalling-gitops-operator.adoc (PROCEDURE). This is the second step in the two-step uninstall process.,,,Finding the operator in the Software Catalog and confirming it's the correct installed instance,,,,,Platform Administrator,High,"['Remove OpenShift GitOps from my cluster', 'Uninstall operators from OpenShift']",,,,,,,,"['GitOps Operator is found in Software Catalog', 'Operator is successfully uninstalled', 'Confirmation of uninstall completion']",['Cluster Administrator'],,,,Maintenance and Operations
,,,,,,,"['cost optimization', 'infrastructure nodes', 'gitops control plane', 'subscription management']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Introduction section, lines 8-11 [assembly: cicd/gitops/run-gitops-control-plane-workload-on-infra-nodes.adoc]",,,,,,,,,,,,,Reduce OpenShift subscription costs by running GitOps control plane workloads on infrastructure nodes,,,So I can avoid additional billing costs against subscription counts while running GitOps control plane components,Primary goal for this assembly. Source: assembly introduction. Focuses on cost optimization through infrastructure node placement.,,"GitOps control plane workloads run on infrastructure nodes, reducing subscription costs",,,,,,,,,,,,When deploying GitOps in OpenShift and wanting to optimize subscription costs,,,,,,,,Platform Administrator,Optimize
,,,,,,,"['workload isolation', 'node scheduling', 'resource management', 'gitops control plane']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', lines 18-47 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Move GitOps workloads to infrastructure nodes to separate control plane from application workloads,,,So I can isolate GitOps control plane workloads and prevent them from consuming resources meant for application workloads,"Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). Core procedure covers labeling nodes, editing GitOpsService CR, and setting runOnInfra field.",,GitOps workloads are scheduled on dedicated infrastructure nodes with proper node selectors and tolerations,,,,,,,,,,,,When I have infrastructure nodes configured and want to run GitOps control plane components separately from user workloads,,,,,,,,Platform Administrator,Configure
,,,,,,,"['node labeling', 'infrastructure nodes', 'node configuration']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', step 1, lines 24-29 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Label nodes as infrastructure nodes for GitOps workload placement,,,So I can ensure GitOps workloads are scheduled on the correct nodes,Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). First step in procedure uses 'oc label node' command.,,Nodes are labeled with node-role.kubernetes.io/infra label and ready to host GitOps workloads,,,,,,,,,,,,When I need to designate specific nodes to host GitOps control plane components,,,,,,,,Platform Administrator,Configure
,,,,,,,"['custom resource configuration', 'gitops service', 'node placement']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', steps 2-3, lines 30-46 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Configure GitOpsService CR to enable infrastructure node placement,,,So GitOps control plane workloads automatically schedule on infrastructure nodes,Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). Core configuration step involves editing GitOpsService CR and setting runOnInfra field.,,"GitOpsService CR is configured with runOnInfra: true, moving all GitOps workloads to infrastructure nodes",,,,,,,,,,,,When I have labeled infrastructure nodes and need to configure GitOps to use them,,,,,,,,Platform Administrator,Configure
,,,,,,,"['node taints', 'workload isolation', 'resource isolation']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', step 4, lines 47-54 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Apply taints to infrastructure nodes to prevent non-GitOps workloads from scheduling,,,So I can ensure only authorized workloads run on infrastructure nodes and prevent resource contention,Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). Optional step uses 'oc adm taint' command to isolate workloads.,,"Infrastructure nodes are tainted with NoSchedule and NoExecute effects, preventing unauthorized workloads",,,,,,,,,,,,When I want to isolate infrastructure nodes exclusively for GitOps workloads,,,,,,,,Platform Administrator,Configure
,,,,,,,"['tolerations', 'node taints', 'workload scheduling']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', step 5, lines 55-68 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Add tolerations to GitOpsService CR to allow GitOps workloads on tainted infrastructure nodes,,,So GitOps workloads can overcome node taints and successfully schedule on infrastructure nodes,Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). Optional step adds tolerations to match taints applied in previous step.,,"GitOpsService CR includes tolerations matching the infrastructure node taints, allowing proper scheduling",,,,,,,,,,,,When I have applied taints to infrastructure nodes and need GitOps workloads to schedule despite the taints,,,,,,,,Platform Administrator,Configure
,,,,,,,"['verification', 'pod inspection', 'troubleshooting']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', verification paragraph, lines 70-75 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Verify GitOps workloads are scheduled on infrastructure nodes,,,So I can ensure the configuration is working correctly and workloads are placed as expected,Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). Verification step instructs checking pod details for node selector and tolerations.,,"Pod inspection shows correct node selectors and tolerations, confirming infrastructure node placement",,,,,,,,,,,,When I have configured GitOpsService CR and need to confirm workloads are running on infrastructure nodes,,,,,,,,Platform Administrator,Validate
,,,,,,,"['workload types', 'gitops components', 'deployment planning']",,,,,,,,,,"run-gitops-control-plane-workload-on-infra-nodes-reduced.adoc -> Section 'Moving {gitops-shortname} workloads to infrastructure nodes', workload list, lines 18-21 [module: modules/go-add-infra-nodes.adoc, type: PROCEDURE]",,,,,,,,,,,,,Understand which GitOps workloads can be moved to infrastructure nodes,,,So I know which specific deployments and statefulsets are affected by the runOnInfra configuration,"Source module: modules/go-add-infra-nodes.adoc (PROCEDURE). Lists specific deployments and statefulsets: kam, cluster, applicationset-controller, dex-server, redis components, repo-server, server, application-controller.",,Clear understanding of the 10 GitOps workloads that will be moved to infrastructure nodes,,,,,,,,,,,,When planning to move GitOps workloads to infrastructure nodes,,,,,,,,Platform Administrator,Plan
,,,,,,,,,,,,intermediate,,procedure,,,"configuring-argo-cd-rbac-reduced.adoc -> Section 'Configuring Argo CD RBAC', lines 1-10 and Section 'Configuring user level access', lines 12-50 [module: modules/configuring-user-level-access.adoc, type: PROCEDURE]",,occasional,,,,,,high,,,,,Configure role-based access control (RBAC) for Argo CD users,,,,Source module: modules/configuring-user-level-access.adoc (PROCEDURE). Assembly: cicd/gitops/configuring-argo-cd-rbac.adoc. Default behavior is read-only access when logged in via RHSSO. RBAC must be configured at user level since RHSSO cannot read group information.,,,,,,Cluster Administrator,,,,,,,,,,,,"['User can access Argo CD with appropriate permissions based on their role', 'RBAC policies are properly defined in the Argo CD custom resource', 'User roles are correctly assigned (e.g., admin, developer, viewer)']",,,,,Configure
,,,,,,,,,,,,intermediate,,procedure,,,"configuring-argo-cd-rbac-reduced.adoc -> Section 'Configuring user level access', lines 14-42 [module: modules/configuring-user-level-access.adoc, type: PROCEDURE]",,occasional,,,,,,high,,,,,Grant admin access to specific users in Argo CD,,,,"Source module: modules/configuring-user-level-access.adoc (PROCEDURE). Requires editing the argocd CR and adding policy configuration with name, email, and role. Scopes should be set to '[groups]'.",,,,,,Cluster Administrator,,,,,,,,,,,,"['Specific users are identified by name and email', 'Admin role is assigned to designated users', 'RBAC policy is updated in the Argo CD custom resource']",,,,,Configure
,,,,,,,,,,,,intermediate,,procedure,,,"configuring-argo-cd-rbac-reduced.adoc -> Section 'Modifying RHSSO resource requests/limits', lines 52-80 [module: modules/modify-rhsso-requests-limits.adoc, type: PROCEDURE]",,occasional,,,,,,medium,,,,,Adjust resource allocation for RHSSO container in Argo CD,,,,"Source module: modules/modify-rhsso-requests-limits.adoc (PROCEDURE). Default resources: CPU 500m-1000m, Memory 512Mi-1024Mi. Changes are made by patching the Argo CD CR. Important: RHSSO only persists operator-made changes; admin configurations are deleted on restart.",,,,,,Cluster Administrator,,,,,,,,,,,,"['RHSSO CPU and memory requests are set according to environment needs', 'RHSSO CPU and memory limits are properly configured', 'Resource changes persist through operator management']",,,,,Optimize
,,,,,,,,,,,,basic,,reference,,,"configuring-argo-cd-rbac-reduced.adoc -> Section 'Modifying RHSSO resource requests/limits', lines 52-67 [module: modules/modify-rhsso-requests-limits.adoc, type: PROCEDURE]",,occasional,,,,,,low,,,,,Understand default RHSSO resource allocation in Argo CD,,,,"Source module: modules/modify-rhsso-requests-limits.adoc (PROCEDURE). Reference information showing default resource table: CPU 500m/1000m, Memory 512Mi/1024Mi.",,,,,,Cluster Administrator,,,,,,,,,,,,"['Admin knows the default CPU and memory requests for RHSSO', 'Admin knows the default CPU and memory limits for RHSSO', 'Admin can plan resource adjustments based on defaults']",,,,,Plan
,,,,,,,,,,,"['Minimize time required to onboard new users to Argo CD', 'Reduce complexity of user credential management', 'Ensure consistent authentication across cluster services']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"configuring-sso-for-argo-cd-on-openshift.adoc -> Assembly introduction, lines 9-12. States: 'After the {gitops-title} Operator is installed, Argo CD automatically creates a user with `admin` permissions. To manage multiple users, Argo CD allows cluster administrators to configure SSO.'",,,,,,main_job,,,,,Prepare,,"When managing multiple users accessing Argo CD, I want to configure single sign-on integration, so I can centralize authentication and leverage existing identity providers",core,,,This is the overarching main job for the entire assembly. All subsequent procedures are user stories that accomplish this main job through different configuration steps.,,,,,,Cluster administrator,"['Install Red Hat GitOps Operator', 'Install Red Hat SSO on the cluster']",,,"['Manage user permissions in Argo CD', 'Configure RBAC policies']",,,Configuring SSO for Argo CD on OpenShift,,,,,,,,,,
,,,,,,,,,,,"['Minimize errors in client configuration', 'Ensure secure credential generation', 'Reduce time to establish authentication trust']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-creating-a-new-client-in-keycloak.adoc -> Lines 1-24 [module: modules/gitops-creating-a-new-client-in-keycloak.adoc, type: PROCEDURE]. Procedure includes steps to create client with ID 'argocd', set protocol to 'openid-connect', configure redirect URIs, and obtain client secret.",,,,,,user_story,,,,,Prepare,,"When setting up SSO integration, I want to register Argo CD as a client in Keycloak, so I can establish the trust relationship for authentication",related,,,Source module: modules/gitops-creating-a-new-client-in-keycloak.adoc (PROCEDURE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This is a user story under the main job of configuring SSO - specifically the Keycloak client setup approach.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,['Install Red Hat SSO on the cluster'],,,"['Configure OIDC settings in Argo CD', 'Obtain client credentials from Keycloak']",,,Creating a new client in Keycloak,,,,,,,,,,
,,,,,,,,,,,"['Minimize manual user permission assignment', 'Ensure group memberships are automatically reflected in Argo CD', 'Reduce time to grant role-based access']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-configuring-the-groups-claim.adoc -> Lines 1-31 [module: modules/gitops-configuring-the-groups-claim.adoc, type: PROCEDURE]. States: 'To manage users in Argo CD, you must configure a groups claim that can be included in the authentication token.' Includes creating client scope 'groups', adding token mapper for group membership, and creating 'ArgoCDAdmins' group.",,,,,,user_story,,,,,Prepare,,"When managing user permissions through SSO, I want to configure group claims in the authentication token, so I can map organizational groups to Argo CD roles",related,,,Source module: modules/gitops-configuring-the-groups-claim.adoc (PROCEDURE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This enables group-based access control by embedding group information in OIDC tokens.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,['Create Argo CD client in Keycloak'],,,"['Configure Argo CD RBAC policies', 'Manage user group memberships']",,,Configuring the groups claim,,,,,,,,,,
,,,,,,,,,,,"['Minimize configuration errors in OIDC setup', 'Ensure secure storage of client credentials', 'Reduce time to enable SSO authentication']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-configuring-argo-cd-oidc.adoc -> Lines 1-83 [module: modules/gitops-configuring-argo-cd-oidc.adoc, type: PROCEDURE]. States: 'To configure Argo CD OpenID Connect (OIDC), you must generate your client secret, encode it, and add it to your custom resource.' Includes encoding secret in base64, storing in argocd-secret, and adding oidcConfig to ArgoCD CR.",,,,,,user_story,,,,,Prepare,,"When connecting Argo CD to Keycloak, I want to configure OIDC settings with client credentials, so I can enable Keycloak-based authentication for Argo CD users",related,,,Source module: modules/gitops-configuring-argo-cd-oidc.adoc (PROCEDURE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This is the critical integration step that connects Argo CD to Keycloak via OIDC protocol.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,"['Create Argo CD client in Keycloak', 'Obtain client secret from Keycloak']",,,"['Configure groups claim in Keycloak', 'Verify SSO authentication flow']",,,Configuring Argo CD OIDC,,,,,,,,,,
,,,,,,,,,,,"['Minimize separate credential management', 'Ensure seamless authentication across OpenShift and Keycloak', 'Reduce user friction when accessing Argo CD']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-keycloak-identity-brokering-with-openshift-oauthclient.adoc -> Lines 1-36 [module: modules/gitops-keycloak-identity-brokering-with-openshift-oauthclient.adoc, type: PROCEDURE]. States: 'You can configure a Keycloak instance to use {product-title} for authentication through Identity Brokering. This allows for Single Sign-On (SSO) between the {product-title} cluster and the Keycloak instance.'",,,,,,user_story,,,,,Prepare,,"When leveraging existing OpenShift authentication, I want to configure Keycloak as an identity broker for OpenShift, so I can enable single sign-on between OpenShift cluster and Keycloak",related,,,Source module: modules/gitops-keycloak-identity-brokering-with-openshift-oauthclient.adoc (PROCEDURE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This enables users to log in to Argo CD using their OpenShift credentials via Keycloak as an intermediary.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,"['Install jq CLI tool', 'Have access to OpenShift API']",,,"['Register OAuth client in OpenShift', 'Configure Keycloak identity providers']",,,Keycloak Identity Brokering with OpenShift,,,,,,,,,,
,,,,,,,,,,,"['Minimize OAuth configuration errors', 'Ensure secure OAuth client registration', 'Reduce time to enable bidirectional authentication']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-registering-an-additional-oauth-client.adoc -> Lines 1-33 [module: modules/gitops-registering-an-additional-oauth-client.adoc, type: PROCEDURE]. States: 'If you need an additional OAuth client to manage authentication for your {product-title} cluster, you can register one.' Includes creating OAuthClient resource with name 'keycloak-broker', secret, and redirect URIs.",,,,,,user_story,,,,,Prepare,,"When enabling identity brokering, I want to register a Keycloak OAuth client in OpenShift, so I can allow Keycloak to authenticate users against the OpenShift identity provider",related,,,Source module: modules/gitops-registering-an-additional-oauth-client.adoc (PROCEDURE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This completes the identity brokering setup by registering the Keycloak broker as a trusted OAuth client in OpenShift.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,['Configure Keycloak identity provider for OpenShift'],,,"['Configure OAuth redirect URIs', 'Manage OAuth client credentials']",,,Registering an additional OAuth client,,,,,,,,,,
,,,,,,,,,,,"['Minimize manual permission assignment per user', 'Ensure consistent role assignment across user groups', 'Reduce security risks from incorrect permission grants']",,configuring-sso-for-argo-cd-on-openshift.adoc,,,,"modules/gitops-configuring-groups-and-argocd-rbac.adoc -> Lines 1-40 [module: modules/gitops-configuring-groups-and-argocd-rbac.adoc, type: PROCEDURE]. States: 'Role-based access control (RBAC) allows you to provide relevant permissions to users.' Includes adding users to ArgoCDAdmins group and configuring argocd-rbac-cm ConfigMap with policy 'g, /ArgoCDAdmins, role:admin'.",,,,,,user_story,,,,,Prepare,,"When controlling user access in Argo CD, I want to map Keycloak groups to Argo CD roles, so I can enforce role-based access control based on organizational groups",related,,,Source module: modules/gitops-configuring-groups-and-argocd-rbac.adoc (PROCEDURE). Assembly: configuring-sso-for-argo-cd-on-openshift.adoc. This completes the SSO setup by mapping authentication groups to authorization roles.,,,,,Configure single sign-on integration for Argo CD,Cluster administrator,"['Create ArgoCDAdmins group in Keycloak', 'Configure groups claim in Keycloak', 'Users have logged in to Argo CD at least once']",,,"['Manage user group memberships in Keycloak', 'Define custom RBAC policies in Argo CD']",,,Configure groups and Argo CD RBAC,,,,,,,,,,
