job_name,job_statement,parent_job,job_coverage,module_file,module_status,module_note,job_notes
Understanding how I can use software and drivers that are not available as RHCOS extensions with my nodes.,,,,modules/rhcos-add-extensions.adoc,partial,"supported RHCOS extensions via MC, not custom layering",
Allocate GPU resources to pods,"When I want to run AI workloads, I need to access GPU resources and allocate those resources across my pods so I can handle the computationally intensive needs of those workloads.",,full,modules/nodes-pods-allocate-dra-about.adoc,full,DRA GPU allocation concepts,DRA assembly covers pod GPU allocation; broader NVIDIA/AMD operator content spread across hardware-accelerator modules.
Allocate GPU resources to pods,,,,modules/nodes-pods-allocate-dra-configure.adoc,full,configure DRA,
Allocate GPU resources to pods,,,,modules/about-using-gpu-operator.adoc,partial,GPU operator overview,
Allocate GPU resources to pods,,,,modules/nvidia-gpu-sharing-methods.adoc,partial,GPU sharing (time-slicing/MIG/MPS),
Run tasks in pods,"When I need to perform a task in OCP, I want to use job specifications to either perform a quick task or use cron jobs to schedule recurring tasks such as creating backups.",,full,modules/nodes-nodes-jobs-about.adoc,full,jobs vs cron jobs,
Run tasks in pods,,,,modules/nodes-nodes-jobs-creating.adoc,full,create job,
Run tasks in pods,,,,modules/nodes-nodes-jobs-creating-cron.adoc,full,create cron job,
Gap: customer-created catalogs,Gap: customer-created catalogs,,partial,modules/olm-creating-fb-catalog-image.adoc,full,create file-based catalog image,NOT a true doc gap: custom catalogs covered by operators/admin/olm-managing-custom-catalogs.adoc and extensions/catalogs/ (creating/managing). Job scope itself is underspecified.
Gap: customer-created catalogs,,,,modules/olm-filtering-fbc.adoc,full,filter a file-based catalog,
Gap: customer-created catalogs,,,,modules/olm-creating-index-image.adoc,partial,SQLite index image (legacy),
Understand how OpenShift uses certificates with the Machine Config Operator,"When I'm working with cluster certificates, I can inspect the MCO-managed certificates, so that I can avoid trust or pull failures.",,full,modules/machine-config-operator-certificates-overview.adoc,full,how MCO uses certs,Overlaps with 'View and interact with MCO certificates' (concept vs hands-on).
Understand how OpenShift uses certificates with the Machine Config Operator,,,,modules/machine-config-operator-certificates-reference.adoc,full,reference of MCO-managed certs,
Scale etcd control plane nodes,"When my cluster's capacity needs change, I want to scale the number of etcd control plane nodes, so I can maintain high availability and quorum.",,full,modules/etcd-node-scaling.adoc,full,scale control plane/etcd nodes (bare metal),"Primary coverage in etcd area (etcd/etcd-performance.adoc), not machine_management. Scaling to 4/5 nodes limited to bare metal."
Scale etcd control plane nodes,,,,modules/nodes-add-new-etcd-member.adoc,partial,adding etcd members,
Scale etcd control plane nodes,,,,machine_management/control_plane_machine_management/cpmso-manually-scaling-control-planes.adoc,partial,manually scaling control plane machines,
Mount an OCI image onto a pod,"When I need to distribute large, static datasets, binaries, or specialized tools across multiple applications without rebuilding those application images, I want to mount an OCI image as a read-only volume...",,full,modules/nodes-pods-image-volume-about.adoc,full,OCI image volume concepts,
Mount an OCI image onto a pod,,,,modules/nodes-pods-image-volume-adding.adoc,full,mount OCI image read-only,
Use device plugins to access external resources with pods,"When I want to use a particular device such as a GPU with its own vendor-specific setup, I want to use device plugins so that I can utilize such devices without writing custom code.",,full,modules/nodes-pods-plugins-about.adoc,full,device plugin concepts,MicroShift has separate generic-device-plugin modules.
Use device plugins to access external resources with pods,,,,modules/nodes-pods-plugins-device-mgr.adoc,full,Device Manager,
Use device plugins to access external resources with pods,,,,modules/nodes-pods-plugins-install.adoc,full,enable device manager,
Enable features with feature gates,"When I want to test out a tech preview feature, I want to enable the feature gate so I can experiment and send feedback to Red Hat.",,full,modules/nodes-cluster-enabling-features-about.adoc,full,feature gate concepts,post-install and microshift variants duplicate for other contexts.
Enable features with feature gates,,,,modules/nodes-cluster-enabling-features-cli.adoc,full,enable via CLI,
Enable features with feature gates,,,,modules/nodes-cluster-enabling-features-console.adoc,full,enable via console,
Enable features with feature gates,,,,modules/nodes-cluster-enabling-features-install.adoc,full,enable at install,
Create remote worker nodes,"When I have an on-premise control plane and need applications running on the network edge, I want to create and configure nodes on the network edge so that edge applications run efficiently with high uptime.",,full,modules/nodes-rwn_con_adding-remote-worker-nodes.adoc,full,add remote worker nodes,openshift-enterprise only.
Create remote worker nodes,,,,modules/nodes-edge-remote-workers-strategies.adoc,full,deployment strategies,
Create remote worker nodes,,,,modules/nodes-edge-remote-workers-network.adoc,partial,networking considerations,
Create remote worker nodes,,,,modules/nodes-edge-remote-workers-latency.adoc,partial,latency handling,
Create remote worker nodes,,,,modules/nodes-edge-remote-workers-power.adoc,partial,power-loss handling,
Enable or disable the hosted control planes feature,"When I am managing my cluster lifecycle environment, I want to enable or disable the hosted control planes feature, so I can control whether my management cluster has the capability to host decoupled control planes.",,full,modules/hcp-enable-manual.adoc,full,manually enabling HCP,Dedicated assembly directly matches.
Enable or disable the hosted control planes feature,,,,modules/hcp-enable-manual-addon.adoc,full,enable hypershift-addon,
Enable or disable the hosted control planes feature,,,,modules/hcp-uninstall-operator.adoc,full,uninstall HyperShift Operator,
Enable or disable the hosted control planes feature,,,,modules/hcp-disable-feature.adoc,full,disable HCP feature,
Manage hosted control planes across platforms,"When my clusters are operational, I want to manage them consistently across various platforms, so I can streamline my day-to-day operations.",,full,hosted_control_planes/hcp-manage/hcp-manage-aws.adoc,full,manage on AWS,"One management assembly per platform (AWS, BM, virt, non-BM, IBM Power, OpenStack); IBM Z lacks a dedicated hcp-manage assembly."
Manage hosted control planes across platforms,,,,hosted_control_planes/hcp-manage/hcp-manage-bm.adoc,full,manage on bare metal,
Manage hosted control planes across platforms,,,,hosted_control_planes/hcp-manage/hcp-manage-virt.adoc,full,manage on virtualization,
Manage hosted control planes across platforms,,,,hosted_control_planes/hcp-manage/hcp-manage-ibm-power.adoc,full,manage on IBM Power,
Manage hosted control planes across platforms,,,,hosted_control_planes/hcp-manage/hcp-manage-openstack.adoc,full,manage on OpenStack,
Scale workloads in a hosted cluster,"When application traffic fluctuates, I want to automatically scale my hosted cluster workloads up or down, so I can maintain performance during peak times and reduce infrastructure costs.",,full,modules/hcp-bm-autoscale.adoc,full,enable node pool autoscaling,Manual + autoscaler scaling well covered but distributed across per-platform manage assemblies (discoverability partial).
Scale workloads in a hosted cluster,,,,modules/scale-up-down-autoscaler-hcp.adoc,full,scale-up/down autoscaler config,
Scale workloads in a hosted cluster,,,,modules/hcp-scale-the-nodepool.adoc,full,manually scale a node pool,
Scale workloads in a hosted cluster,,,,modules/hcp-virt-scale-nodepool.adoc,full,virt node pool scaling,
Manually import a hosted cluster,"When I have an existing cluster, I want to manually import it into my management environment, so I can govern it alongside my other hosted clusters.",,full,modules/hcp-import-limitations.adoc,full,limitations of manual import,Dedicated assembly hcp-import.adoc.
Manually import a hosted cluster,,,,modules/hcp-import-manual.adoc,full,manually import a hosted cluster,
Manually import a hosted cluster,,,,modules/hcp-import-manual-aws.adoc,full,manual import on AWS,
Manually import a hosted cluster,,,,modules/hcp-import-disable.adoc,full,disable automatic import,
Delete a hosted cluster,"When a cluster is no longer needed, I want to securely delete the hosted cluster, so I can free up resources on my management cluster and target platform.",,full,hosted_control_planes/hcp-destroy/hcp-destroy-aws.adoc,full,destroy on AWS,Full 'Destroying a hosted cluster' section per platform. Docs use 'destroy' vs job's 'delete' (terminology mismatch).
Delete a hosted cluster,,,,modules/hcp-azure-delete.adoc,full,delete Azure hosted cluster,
Delete a hosted cluster,,,,hosted_control_planes/hcp-destroy/hcp-destroy-virt.adoc,full,destroy on virtualization,
Delete a hosted cluster,,,,hosted_control_planes/hcp-destroy/hcp-destroy-openstack.adoc,full,destroy on OpenStack,
Unload kernel modules from nodes,"When I need to remove a kernel module or switch to a different version, I want to unload modules cleanly, so I can avoid leaving the system in an inconsistent state.",Manage kernel modules across cluster nodes,full,hardware_enablement/modules/kmm-unloading-kernel-module.adoc,full,delete Module CR; KMM runs modprobe -r,
Unload kernel modules from nodes,,,,hardware_enablement/modules/kmm-customizing-upgrades-for-kernel-modules.adoc,partial,ordered upgrade/version handling,
Manage Day 1 kmod images lifecycle,"When transitioning kernel modules from Day 1 Machine Config to KMM management, I want to manage the kmod images lifecycle, so I can smoothly migrate from boot-time loading to KMM-managed loading.",Manage kernel modules across cluster nodes,full,hardware_enablement/modules/kmm-managing-day1-kmod-images.adoc,full,migrate Day 1 kmods to KMM,
Manage Day 1 kmod images lifecycle,,,,hardware_enablement/modules/kmm-day1-kernel-module-loading.adoc,partial,Day 1 loading via MCO/systemd,
Manage Day 1 kmod images lifecycle,,,,hardware_enablement/modules/kmm-day1-mco-yaml-creation.adoc,partial,Day 1 MachineConfig YAML,
Use KMM in hub-and-spoke multi-cluster,"When I manage kernel modules across multiple spoke clusters from a central hub, I want to use KMM-hub, so I can centrally define and distribute kernel modules to multiple clusters.",Manage kernel modules across cluster nodes,full,hardware_enablement/modules/kmm-hub-hub-and-spoke.adoc,full,KMM-Hub hub-and-spoke concept,Complete kmm-hub-* module set.
Use KMM in hub-and-spoke multi-cluster,,,,hardware_enablement/modules/kmm-hub-installing-kmm-hub.adoc,full,installing KMM-Hub,
Use KMM in hub-and-spoke multi-cluster,,,,hardware_enablement/modules/kmm-hub-using-the-managedclustermodule.adoc,full,ManagedClusterModule CRD,
Use KMM in hub-and-spoke multi-cluster,,,,hardware_enablement/modules/kmm-hub-running-kmm-on-the-spoke.adoc,full,running KMM on spokes,
Manage cluster sample image streams,"When I need default sample image streams and templates in my OpenShift cluster, I want to install, configure, and maintain Cluster Samples Operator content, so I can bootstrap development workflows in connected or disconnected environments.",,full,modules/samples-operator-overview.adoc,full,overview,Fully covered for connected AND disconnected. NOTE: Cluster Samples Operator is being deprecated (deprecation snippet present).
Manage cluster sample image streams,,,,modules/samples-operator-configuration.adoc,full,configuration,
Manage cluster sample image streams,,,,modules/samples-operator-crd.adoc,full,CRD reference,
Manage cluster sample image streams,,,,modules/samples-operator-restricted-network-install.adoc,full,disconnected install,
Manage cluster sample image streams,,,,modules/installation-restricted-network-samples.adoc,full,samples with alternate registry,
Configure cluster-wide image policy,"When I need to govern how my OpenShift cluster handles container images cluster-wide, I want to configure the image.config.openshift.io/cluster resource, so I can control registry access, imports, mirroring, and trust policies consistently across all nodes.",,full,modules/images-configuration-file.adoc,full,edit image.config CR,Registry access/imports/mirroring/trust covered. Sigstore ClusterImagePolicy signature trust NOT under openshift_images/ (minor gap if job intends signature policies).
Configure cluster-wide image policy,,,,modules/images-configuration-parameters.adoc,full,image config parameters,
Configure cluster-wide image policy,,,,modules/images-configuration-allowed.adoc,full,allowedRegistriesForImport,
Configure cluster-wide image policy,,,,modules/images-configuration-registry-mirror.adoc,full,registry mirroring,
Configure cluster-wide image policy,,,,modules/images-configuration-cas.adoc,full,additionalTrustedCA / trust,
Remediate node configuration drift to return the node to ready.,"When a node is marked degraded due to configuration drift, I want to identify exactly which file or setting diverged, so I can fix or reconcile the drift.",,full,modules/machine-config-drift-detection.adoc,full,"detect mismatch, identify degraded node/file, remediate by rewriting",
Remediate node configuration drift to return the node to ready.,,,,modules/understanding-machine-config-operator.adoc,partial,defines drift concept,
Remediate node configuration drift to return the node to ready.,,,,modules/machine-config-overview.adoc,partial,"defines drift, points to detection",
Allow the configuration drift to remain and return the node to ready state.,"When configuration drift is intentional but I still need the node to update, I can remediate drift by restoring the file contents or blocking drift detection, so I can unblock future machine config rollouts.",,partial,modules/machine-config-drift-detection.adoc,partial,force-file option summarized; steps deferred to KCS,Force-file remediation is mentioned but detailed steps are offloaded to an external Red Hat KCS article -- gap in in-doc procedure.
Understand what the `oc get machineconfig node` and `oc describe machineconfig node` output means.,"When viewing `oc get machineconfig node` and `oc describe machineconfig node` output, I want to understand what the fields mean so that I can see if there are any issues on those nodes.",,full,modules/checking-mco-node-status.adoc,full,"MachineConfigNode CR, phases, conditions",Maps to machineconfignode (MachineConfigNode CR) commands.
Understand what the `oc get machineconfig node` and `oc describe machineconfig node` output means.,,,,modules/checking-mco-node-status-configuring.adoc,full,oc get/describe machineconfignodes during updates,
Understand what the `oc get machineconfig node` and `oc describe machineconfig node` output means.,,,,modules/checking-mco-status.adoc,partial,oc get/describe machineconfig(pool) status,
View and interact with Machine Config Operator certificates.,"When troubleshooting communication issues between nodes, I can inspect MCO-managed certificates, so that I determine if there are any issues.",,full,modules/checking-mco-status-certs.adoc,full,viewing and interacting with certificates,Overlaps conceptually with 'Understand how OpenShift uses certificates with the MCO' (concept vs hands-on).
Accessing failed nodes.,"When a node is down, I want to learn how to use the `core` user to access a node by using a serial console or a bare metal baseboard controller manager (BMC).",,partial,modules/core-user-password.adoc,partial,intro explains core-user access via serial console/BMC,No dedicated 'accessing failed nodes' module; use case only described within the core-user-password procedure. Potential gap for a standalone access-via-console/BMC procedure.
Configure the `core` user password for node access.,"When a node is down, I can use a machine config to set a password for the `core` user for nodes in a specific pool, so that I can access those nodes by using a serial console or a bare metal baseboard controller manager (BMC) with that user account.",,full,modules/core-user-password.adoc,full,create MC with core user + hashed password,Single module covers configure/change/remove; module title says 'Changing' (minor mismatch).
Change the `core` user password for node access.,"When I want to change the password for the `core` user on nodes in a specific pool, I can create a machine config object so that I can change the password across all the nodes.",,full,modules/core-user-password.adoc,full,edit the MC to change hashed password,Duplicate coverage of 'Configure the core user password' -- same single module.
Change the installed disk-partition schema for new nodes.,"When I want to change the install-time disk partition schema on nodes in a specific pool, I can create a machine config object, so that new nodes in that pool use the new partitioning on all the nodes.",,full,modules/machine-config-install-time-configs.adoc,full,overriding storage/partition setup via MC,Coverage spread across machine_configuration and post_installation/installation.
Change the installed disk-partition schema for new nodes.,,,,modules/machine-node-custom-partition.adoc,partial,custom /var partition (AWS install-time),
Change the installed disk-partition schema for new nodes.,,,,modules/installation-disk-partitioning.adoc,partial,install-time disk partitioning background,
Define the machine configuration changes that cause a disruption to my nodes and which changes do not.,"When making changes to certain Ignition config objects, I want to use a node disruption policy to define a set of node changes that would require little or no disruption to your workloads",,full,modules/machine-config-node-disruption-config.adoc,full,configure a node disruption policy,Dedicated assembly machine-config-node-disruption.adoc.
Define the machine configuration changes that cause a disruption to my nodes and which changes do not.,,,,modules/machine-config-node-disruption-example.adoc,full,example node disruption policy,
Limit the number of process IDs (PIDs) that a pod can use on my nodes to prevent PID exhaustion.,"When I want to set a PID limit on nodes in a specific pool, I can create a `KubeletConfig` object to set the `podPidsLimit` Kubelet parameter on those nodes.",,full,modules/create-a-kubeletconfig-crd-to-edit-kubelet-parameters.adoc,full,KubeletConfig CR with podPidsLimit,Additional PID-limit modules exist but are ROSA/OpenShift Dedicated scoped.
Limit the number of process IDs (PIDs) that a pod can use on my nodes to prevent PID exhaustion.,,,,modules/risks-setting-higher-process-id-limits.adoc,partial,risks of higher PID limits (ROSA/Dedicated),
Set the maximum number of pods that can run on a node.,"When I want to optimize pod density on nodes in a specific pool, I can create a `KubeletConfig` object to set the `maxPods` Kubelet parameter on those nodes.",,full,modules/nodes-nodes-managing-max-pods-proc.adoc,full,KubeletConfig with maxPods/podsPerCore,Covered in a dedicated Nodes assembly and the general KubeletConfig CR module.
Set the maximum number of pods that can run on a node.,,,,modules/create-a-kubeletconfig-crd-to-edit-kubelet-parameters.adoc,full,general KubeletConfig CR references maxPods,
Define the maximum size of the container log file before it is rotated.,"When I want to modify the log limits on nodes in a specific pool, I can create a `KubeletConfig` object to set the `containerLogMaxSize` Kubelet parameter on those nodes.",,full,modules/create-a-kubeletconfig-crd-to-edit-kubelet-parameters.adoc,full,containerLogMaxSize in the CR,Exact JTBD wording appears verbatim in the module.
Switch the container runtime used for workloads on my nodes between runC and crun.,"When I want to change the container runtime for new workloads on nodes in a specific pool, I can create a `ContainerRuntimeConfig` object, so that I can change between runcC and crun.",,full,modules/create-a-containerruntimeconfig-crd.adoc,full,defaultRuntime crun/runc via ContainerRuntimeConfig,Separate ZTP telco module covers crun for single-node deployments.
Switch the container runtime used for workloads on my nodes between runC and crun.,,,,modules/ztp-sno-du-configuring-crun-container-runtime.adoc,partial,ZTP/single-node crun config,
Define how much disk space a single container on my nodes can use for its files and layers.,"When I want to cap the CRI-O overlay/root partition size on nodes in a specific pool, I can create a `ContainerRuntimeObject` to set the `overlaySize` CRI-O parameter...",,full,modules/set-the-default-max-container-root-partition-size-for-overlay-with-crio.adoc,full,set overlaySize via ContainerRuntimeConfig,
Define how much disk space a single container on my nodes can use for its files and layers.,,,,modules/create-a-containerruntimeconfig-crd.adoc,partial,lists overlaySize as configurable,
"Reduce image pull time for operations that require a pull, such as cluster updates or application deployments.","When I need to reduce pod startup time for frequently-used images, I can use a `PinnedImageSet` to pin container images to a machine config pools...",,full,modules/machine-config-pin-preload-images.adoc,full,pin/pre-load images via PinnedImageSet,'Pinning images to nodes' assembly.
Configure my cluster to automatically update the boot image on my nodes.,"When working with my cluster, I want to configure my AWS, Azure, Google, or VSphere cluster to automatically update boot images, so that new nodes use the latest images.",,partial,modules/mco-update-boot-images-configuring.adoc,partial,enabling boot image mgmt (GCP/AWS),Auto boot-image update (managedBootImages) documented but the enabling module targets GCP and AWS (default) only. Azure and vSphere have only MANUAL boot image update -- job's AWS/Azure/GCP/vSphere auto-update scope not fully met.
Configure my cluster to automatically update the boot image on my nodes.,,,,modules/mco-update-boot-images-about.adoc,partial,boot image management concept,
Configure my cluster to automatically update the boot image on my nodes.,,,,(Azure/vSphere auto-update),gap,only manual boot-image update documented for Azure/vSphere,
Prevent my cluster from automatically updating the boot image on my nodes.,"When working with my cluster, I want to prevent my AWS, Azure, Google, or VSphere cluster from automatically updating the boot images.",,full,modules/mco-update-boot-images-disable.adoc,full,disabling boot image management,
View no-longer used machine config objects.,"When removing unused rendered machine configs, I can delete a specific number of them or all of the unused rendered machine configs.",,full,modules/machineconfig-garbage-collect-viewing.adoc,full,viewing rendered machine configs,Duplicate job statement with 'Remove no-longer used machine config objects'.
Remove no-longer used machine config objects.,"When removing unused rendered machine configs, I can delete a specific number of them or all of the unused rendered machine configs.",,full,modules/machineconfig-garbage-collect-removing.adoc,full,removing unused rendered machine configs,Duplicate job statement with 'View no-longer used machine config objects'.
Understand the out -of-cluster mode of the Image Mode for OpenShift feature.,"When I want to add software or drivers not available as extensions to my cluster by using the out-of-cluster mode of the Image Mode for OpenShift feature, I can learn about the mode and how to supply the required details.",,full,modules/coreos-layering-configuring.adoc,full,out-of-cluster mode via MachineConfig/osImageURL,Assembly distinguishes on-cluster vs out-of-cluster vs install-time modes.
Understand the out -of-cluster mode of the Image Mode for OpenShift feature.,,,,modules/coreos-layering-updating.adoc,partial,updating nodes using custom layered image,
Understand the machine lifecycle,"When I administer an OCP cluster, I want to understand the lifecycle status of a machine so that I can verify that a process is complete or troubleshoot undesired behavior.",,full,modules/machine-about-phases.adoc,full,machine phases,Dedicated assembly.
Understand the machine lifecycle,,,,modules/machine-about-lifecycle.adoc,full,machine lifecycle,
Understand the machine lifecycle,,,,modules/machine-determine-phase-cli.adoc,full,determine phase via CLI,
Understand the machine lifecycle,,,,modules/machine-determine-phase-gui.adoc,full,determine phase via console,
Apply configuration changes to compute machines manually,"When I need a different configuration for my compute machines in my cluster without automated scaling capabilities, I want to update the compute machines manually so that they use the new configuration.",,full,modules/machineset-modifying.adoc,full,modifying a compute machine set (manual config update),Overlaps 'Manage the configuration and lifecycle of compute machines' (umbrella).
Deploy machine health checks,"When I administer an OCP cluster, I want to deploy machine health checks so that I can define conditions for machine health problems and configure automatic detection and remediation.",,full,modules/machine-health-checks-about.adoc,full,about MHC,DUPLICATE of the later 'Deploy machine health checks' job (identical assembly/modules). Its sub-jobs (understand behavior / review sample / create resource) map to constituent modules.
Deploy machine health checks,,,,modules/machine-health-checks-resource.adoc,full,sample MHC resource,
Deploy machine health checks,,,,modules/machine-health-checks-short-circuiting.adoc,full,short-circuiting/maxUnhealthy,
Deploy machine health checks,,,,modules/machine-health-checks-creating.adoc,full,creating MHC,
Manage the configuration and lifecycle of control plane machines,"When I administer an OCP cluster, I want to manage the configuration and lifecycle of the machines backing the control plane so that they have the configuration and resources that they require.",,full,modules/cpmso-feat-config-update.adoc,full,config update,Control Plane Machine Set (CPMS). Parallels the compute-machine equivalent job.
Manage the configuration and lifecycle of control plane machines,,,,modules/cpmso-feat-auto-update.adoc,full,auto update strategy,
Manage the configuration and lifecycle of control plane machines,,,,modules/cpmso-feat-ondelete-update.adoc,full,OnDelete update strategy,
Manage the configuration and lifecycle of control plane machines,,,,modules/cpmso-feat-replace.adoc,full,replacing control plane machines,
