job_name,job_statement,Category
Allocate GPU resources to pods,"When I want to run AI workloads, I need to access GPU resources and allocate those resources across my pods so I can handle the computationally intensive needs of those workloads.",Administer
Run tasks in pods,"When I need to perform a task in OCP, I want to use job specifications to either perform a quick task or use cron jobs to schedule recurring tasks such as creating backups.",Administer
Gap: customer-created catalogs,Gap: customer-created catalogs,Administer
Understand how OpenShift uses certificates with the Machine Config Operator,"When I'm working with cluster certificates, I can inspect the MCO-managed certificates, so that I can avoid trust or pull failures.",Administer
Scale etcd control plane nodes,"When my cluster's capacity needs change, I want to scale the number of etcd control plane nodes, so I can maintain high availability and quorum.",Administer
Mount an OCI image onto a pod,"When I need to distribute large, static datasets, binaries, or specialized tools across multiple applications without rebuilding those application images, I want to mount an OCI image as a read-only volume, so that I can decouple my application code from its dependencies and simplify my CI/CD pipeline",Administer
Use device plugins to access external resources with pods,"When I want to use a particular device such as a GPU with its own vendor-specific setup, I want to use device plugins so that I can utilize such devices without writing custom code.",Administer
Enable features with feature gates,"When I want to test out a tech preview feature, I want to enable the feature gate so I can experiment and send feedback to Red Hat.",Administer
Create remote worker nodes,"When I have an on-premise control plane and need applications running on the network edge, I want to create and configure nodes on the network edge so that edge applications run efficiently with high uptime.",Administer
Enable or disable the hosted control planes feature,"When I am managing my cluster lifecycle environment, I want to enable or disable the hosted control planes feature, so I can control whether my management cluster has the capability to host decoupled control planes.",Administer
Manage hosted control planes across platforms,"When my clusters are operational, I want to manage them consistently across various platforms, so I can streamline my day-to-day operations.",Administer
Scale workloads in a hosted cluster,"When application traffic fluctuates, I want to automatically scale my hosted cluster workloads up or down, so I can maintain performance during peak times and reduce infrastructure costs.",Administer
Manually import a hosted cluster,"When I have an existing cluster, I want to manually import it into my management environment, so I can govern it alongside my other hosted clusters.",Administer
Delete a hosted cluster,"When a cluster is no longer needed, I want to securely delete the hosted cluster, so I can free up resources on my management cluster and target platform.",Administer
Manage kernel modules across cluster nodes > Unload kernel modules from nodes,"When I need to remove a kernel module or switch to a different version, I want to unload modules cleanly, so I can avoid leaving the system in an inconsistent state.",Administer
Manage kernel modules across cluster nodes > Manage Day 1 kmod images lifecycle,"When transitioning kernel modules from Day 1 Machine Config to KMM management, I want to manage the kmod images lifecycle, so I can smoothly migrate from boot-time loading to KMM-managed loading.",Administer
Manage kernel modules across cluster nodes > Use KMM in hub-and-spoke multi-cluster,"When I manage kernel modules across multiple spoke clusters from a central hub, I want to use KMM-hub, so I can centrally define and distribute kernel modules to multiple clusters.",Administer
Manage cluster sample image streams,"When I need default sample image streams and templates in my OpenShift cluster, I want to install, configure, and maintain Cluster Samples Operator content, so I can bootstrap development workflows in connected or disconnected environments.",Administer
Configure cluster-wide image policy,"When I need to govern how my OpenShift cluster handles container images cluster-wide, I want to configure the image.config.openshift.io/cluster resource, so I can control registry access, imports, mirroring, and trust policies consistently across all nodes.",Administer
Remediate node configuration drift to return the node to ready.,"When a node is marked degraded due to configuration drift, I want to identify exactly which file or setting diverged, so I can fix or reconcile the drift.",Administer
Allow the configuration drift to remain and return the node to ready state.,"When configuration drift is intentional but I still need the node to update, I can remediate drift by restoring the file contents or blocking drift detection, so I can unblock future machine config rollouts.",Administer
Understand what the `oc get machineconfig node` and `oc describe machineconfig node` output means.,"When viewing `oc get machineconfig node` and `oc describe machineconfig node` output, I want to understand what the fields mean so that I can see if there are any issues on those nodes.",Administer
View and interact with Machine Config Operator certificates.,"When troubleshooting communication issues between nodes, I can inspect MCO-managed certificates, so that I determine if there are any issues.",Administer
Accessing failed nodes.,"When a node is down, I want to learn how to use the `core` user to access a node by using a serial console or a bare metal baseboard controller manager (BMC).",Administer
Configure the `core` user password for node access.,"When a node is down, I can use a machine config to set a password for the `core` user for nodes in a specific pool, so that I can access those nodes by using a serial console or a bare metal baseboard controller manager (BMC) with that user account.",Administer
Change the `core` user password for node access.,"When I want to change the password for the `core` user on nodes in a specific pool, I can create a machine config object so that I can change the password across all the nodes.",Administer
Change the installed disk-partition schema for new nodes.,"When I want to change the install-time disk partition schema on nodes in a specific pool, I can create a machine config object, so that new nodes in that pool use the new partitioning on all the nodes.",Administer
Define the machine configuration changes that cause a disruption to my nodes and which changes do not.,"When making changes to certain Ignition config objects, I want to use a node disruption policy to define a set of node changes that would require little or no disruption to your workloads",Administer
Limit the number of process IDs (PIDs) that a pod can use on my nodes to prevent PID exhaustion.,"When I want to set a PID limit on nodes in a specific pool, I can create a `KubeletConfig` object to set the `podPidsLimit` Kubelet parameter on those nodes.",Administer
Set the maximum number of pods that can run on a node.,"When I want to optimize pod density on nodes in a specific pool, I can create a `KubeletConfig` object to set the `maxPods` Kubelet parameter on those nodes.",Administer
Define the maximum size of the container log file before it is rotated.,"When I want to modify the log limits on nodes in a specific pool, I can create a `KubeletConfig` object to set the `containerLogMaxSize` Kubelet parameter on those nodes.",Administer
Switch the container runtime used for workloads on my nodes between runC and crun.,"When I want to change the container runtime for new workloads on nodes in a specific pool, I can create a `ContainerRuntimeConfig` object, so that I can change between runcC and crun.",Administer
Define how much disk space a single container on my nodes can use for its files and layers.,"When I want to cap the CRI-O overlay/root partition size on nodes in a specific pool, I can create a `ContainerRuntimeObject` to set the `overlaySize` CRI-O parameter, so I can prevent a single container on those node from consuming the whole node disk.",Administer
"Reduce image pull time for operations that require a pull, such as cluster updates or application deployments.","When I need to reduce pod startup time for frequently-used images, I can use a `PinnedImageSet` to pin container images to a machine config pools, so I can reduce image pull time and ensure critical images are always available locally to the nodes in that pool.",Administer
Configure my cluster to automatically update the boot image on my nodes.,"When working with my cluster, I want to configure my AWS, Azure, Google, or VSphere cluster to automatically update boot images, so that new nodes use the latest images.",Administer
Prevent my cluster from automatically updating the boot image on my nodes.,"When working with my cluster, I want to prevent my AWS, Azure, Google, or VSphere cluster from automatically updating the boot images.",Administer
View no-longer used machine config objects.,"When removing unused rendered machine configs, I can delete a specific number of them or all of the unused rendered machine configs.",Administer
Remove no-longer used machine config objects.,"When removing unused rendered machine configs, I can delete a specific number of them or all of the unused rendered machine configs.",Administer
Understand the out -of-cluster mode of the Image Mode for OpenShift feature.,"When I want to add software or drivers not available as extensions to my cluster by using the out-of-cluster mode of the Image Mode for OpenShift feature, I can learn about the mode and how to supply the required details.",Administer
Understand the machine lifecycle,"When I administer an OCP cluster, I want to understand the lifecycle status of a machine so that I can verify that a process is complete or troubleshoot undesired behavior.",Administer
Apply configuration changes to compute machines manually,"When I need a different configuration for my compute machines in my cluster without automated scaling capabilities, I want to update the compute machines manually so that they use the new configuration.",Administer
Deploy machine health checks,"When I administer an OCP cluster, I want to deploy machine health checks so that I can define conditions for machine health problems and configure automatic detection and remediation.",Administer
Manage the configuration and lifecycle of control plane machines,"When I administer an OCP cluster, I want to manage the configuration and lifecycle of the machines backing the control plane so that they have the configuration and resources that they require.",Administer
Configure control plane failure domains,"When I administer an OCP cluster, I want to configure failure domains for the control plane so that I can ensure high availability and fault tolerance.",Administer
Manage the configuration and lifecycle of compute machines,"When I administer an OCP cluster, I want to manage the configuration and lifecycle of compute machines in the cluster so that the machines backing workloads and infrastructure have the configuration and resources that they require.",Administer
Network Observability Deployment and Management > ### Installation and Setup,Network Observability Deployment and Management > ### Installation and Setup,Administer
Network Observability Deployment and Management > - 11.3 Control automatic installation during cluster creation,Network Observability Deployment and Management > - 11.3 Control automatic installation during cluster creation,Administer
Network Observability Deployment and Management > - 11.5 Configure eBPF agent flow collection settings,Network Observability Deployment and Management > - 11.5 Configure eBPF agent flow collection settings,Administer
Network Observability Deployment and Management > - 11.6 Configure Loki storage and retention policies,Network Observability Deployment and Management > - 11.6 Configure Loki storage and retention policies,Administer
Network Observability Deployment and Management > - 11.7 Configure flow sampling and filtering rules,Network Observability Deployment and Management > - 11.7 Configure flow sampling and filtering rules,Administer
Network Observability Deployment and Management > ### Operations and Maintenance,Network Observability Deployment and Management > ### Operations and Maintenance,Administer
Manage workloads on multi-architecture clusters,"When I have a cluster with compute nodes of different CPU architectures, I want to schedule workloads on nodes with compatible architectures using affinity rules and tolerations, so I can ensure applications run on appropriate hardware.",Administer
Schedule workloads on multi-architecture clusters,"When deploying applications in multi-architecture environments, I want to use the Multiarch Tuning Operator to automatically set architecture predicates and node affinity, so I can avoid manual scheduling configuration for every workload.",Administer
Configure multi-architecture node workload deployments,"When I need fine-grained control over pod placement in multi-arch clusters, I want to configure nodeAffinity, taints, tolerations, and namespace annotations, so I can implement custom scheduling policies for different workload types.",Administer
Import manifest lists in image streams,"When operating multi-architecture clusters, I want to configure image streams to import manifest lists instead of single-architecture images, so I can ensure the correct image variant is pulled for each node architecture.",Administer
Deploy machine health checks,"When I need to automatically remediate unhealthy nodes, I want to create MachineHealthCheck resources with appropriate conditions and thresholds, so I can maintain cluster health without manual intervention.",Administer
Understand machine health check behavior,"When configuring automated remediation, I want to understand machine health check behavior including limitations and short-circuiting via maxUnhealthy, so I can design health checks that avoid disruptive remediation loops.",Administer
Review sample MachineHealthCheck resource,"When implementing node health monitoring, I want to configure MachineHealthCheck resources with selector labels, unhealthy conditions, and remediation limits, so I can define when and how nodes should be automatically replaced.",Administer
Create a machine health check resource,"When enabling automated node remediation, I want to create and apply MachineHealthCheck YAML manifests to the cluster, so I can activate health monitoring for specific machine sets or control planes.",Administer
Scale a compute machine set,"When adjusting cluster capacity, I want to scale machine set replicas up or down and optionally annotate machines for deletion, so I can add or remove compute nodes based on workload demands.",Administer
Understand MachineSet and MachineConfigPool differences,"When managing node lifecycle and configuration, I want to understand how MachineSet controls cloud resources while MachineConfigPool manages configuration and upgrades, so I can use the appropriate mechanism for each task.",Administer
Access and use the image registry > 3.1 RBAC and access prerequisites,Access and use the image registry > 3.1 RBAC and access prerequisites,Administer
Access and use the image registry > 3.2 Direct in-cluster access,Access and use the image registry > 3.2 Direct in-cluster access,Administer
Access and use the image registry,"When OpenShift's integrated image registry is configured, I want to access, monitor, and push or pull images according to my permissions, so I can use the registry for day-2 cluster operations.",Administer
Prepare your cluster for Day-2 support,"When transitioning a cluster to production, I want to configure health monitoring and validate entitlements, so I am fully prepared to handle future outages.",Administer
Prepare your cluster for Day-2 support > Manage cluster support entitlements,"When reviewing my infrastructure footprint, I want to manage my cluster subscriptions, so I can ensure my environment is legally compliant and supported.",Administer
Use administrator workflows in the console,"When performing cluster administration tasks, I want to use administrator-specific workflows in the console, so I can manage cluster resources, operators, and settings efficiently.",Administer
Use the embedded web terminal,"When performing CLI operations from the browser, I want to launch an embedded terminal in the console, so I can run commands without installing local CLI tools.",Administer
Uninstall the Web Terminal Operator,"When removing web terminal functionality, I want to uninstall the operator and related CRDs, so I can reclaim cluster resources and remove the feature completely.",Administer
