record_type,parent_job,job,persona,situation,motivation,outcome,workflow_stage,section,doc_identifier,evidence,user_story_count,task_count,tags,notes
task,Access Argo CD UI,Launch Argo CD from application menu,Cluster Administrator,When I need to navigate to the Argo CD UI,So I can access the cluster's Argo CD instance,Argo CD login page opened,EXECUTE,Access the default Argo CD instance,managing_cluster_configuration,Click the **Application Launcher** menu in the top right corner of the OpenShift Container Platform web console. Select **Cluster Argo CD** from the dropdown list.,,,navigation; ui,"Module type: PROCEDURE (access-the-default-argocd-instance.adoc), Lines 217-218"
task,Access Argo CD UI,Initiate OpenShift SSO login,Cluster Administrator,When presented with the Argo CD login page,So I can authenticate using my existing OpenShift credentials,Redirected to OpenShift login page,EXECUTE,Access the default Argo CD instance,managing_cluster_configuration,Click the **LOG IN VIA OPENSHIFT** button. The OpenShift Container Platform login page opens.,,,authentication; sso,"Module type: PROCEDURE (access-the-default-argocd-instance.adoc), Line 219"
task,Access Argo CD UI,Authenticate with OpenShift,Cluster Administrator,When I need to provide login credentials,So I can prove my identity to access Argo CD,"Authentication successful, authorization page displayed",EXECUTE,Access the default Argo CD instance,managing_cluster_configuration,Enter your OpenShift Container Platform credentials. The **Authorize Access** page opens.,,,authentication; credentials,"Module type: PROCEDURE (access-the-default-argocd-instance.adoc), Line 220"
task,Access Argo CD UI,Grant Argo CD permissions,Cluster Administrator,When Argo CD requests access to my OpenShift identity,So Argo CD can verify my permissions and roles,"Permissions granted, Argo CD UI displayed",EXECUTE,Access the default Argo CD instance,managing_cluster_configuration,Click **Allow selected permissions** to provide requested permission. The Argo CD UI page opens.,,,authorization; permissions,"Module type: PROCEDURE (access-the-default-argocd-instance.adoc), Line 221"
user_story,Establish GitOps-based cluster management,Configure default instance for cluster management,Cluster Administrator,When the default instance has insufficient permissions for production use,So I can enable the instance to deploy cluster configurations and manage resources,Default Argo CD instance configured with appropriate RBAC and permissions,CONFIGURE,Configuring the default Argo CD instance,managing_cluster_configuration,"Though the Operator creates a default Argo CD instance in the `openshift-gitops` namespace, you must configure it to make it useful for deploying applications and setting cluster configuration",,2,configuration; rbac; permissions,Parent section covering both RBAC and permissions configuration. Module type: REFERENCE (configuring-the-default-argocd-instance.adoc)
user_story,Configure default instance for cluster management,Configure Argo CD RBAC,Cluster Administrator,When users need appropriate access to the default Argo CD instance,So team members can perform necessary tasks in Argo CD while maintaining security,Users assigned to cluster-admins group with admin role in Argo CD,CONFIGURE,Configuring RBAC,managing_cluster_configuration,You must configure RBAC to provide the sufficient access to the users to work with the default instance.,,4,rbac; access-control; users,Covers user access configuration. Module type: PROCEDURE (configuring-rbac.adoc)
task,Configure Argo CD RBAC,Inspect current RBAC configuration,Cluster Administrator,When I need to see the operator-configured RBAC settings,So I can understand the current access control policy,RBAC configuration displayed showing defaultPolicy and group mappings,CONFIGURE,Configuring RBAC,managing_cluster_configuration,View the Operator-configured RBAC for the default instance: $ oc get argocd openshift-gitops -n openshift-gitops -o=jsonpath='{.spec.rbac}',,,rbac; inspection,"Module type: PROCEDURE (configuring-rbac.adoc), Lines 259-270"
task,Configure Argo CD RBAC,Check for cluster-admins group,Cluster Administrator,When I need to verify if the required group exists,So I can determine whether to create or modify the group,Group existence confirmed,CONFIGURE,Configuring RBAC,managing_cluster_configuration,Check if the `cluster-admins` group exists: $ oc get groups,,,groups; validation,"Module type: PROCEDURE (configuring-rbac.adoc), Lines 272-277"
task,Configure Argo CD RBAC,Create or update cluster-admins group,Cluster Administrator,When the cluster-admins group doesn't exist or doesn't include my user,So I can grant admin access to users in Argo CD,cluster-admins group created or updated with authorized users,CONFIGURE,Configuring RBAC,managing_cluster_configuration,"If the group does not exist, create it and add your user to it: $ oc adm groups new cluster-admins <user>",,,groups; users; rbac,"Module type: PROCEDURE (configuring-rbac.adoc), Lines 279-327"
task,Configure Argo CD RBAC,Verify group membership,Cluster Administrator,When I need to confirm users are properly assigned to the group,So I can ensure authorized users have the expected access,Group membership validated and users must re-login to Argo CD,CONFIGURE,Configuring RBAC,managing_cluster_configuration,Validate that the group `cluster-admins` exists and that your user is part of it: $ oc get groups cluster-admins,,,verification; groups,"Module type: PROCEDURE (configuring-rbac.adoc), Lines 331-343"
user_story,Configure default instance for cluster management,Grant cluster-admin permissions to Argo CD,Cluster Administrator,When the default permissions are insufficient for cluster configuration,So the Argo CD application controller can deploy all necessary cluster resources,ClusterRoleBinding created granting cluster-admin to the application controller,CONFIGURE,Configuring permissions,managing_cluster_configuration,"When using the default instance for cluster configuration, provide the `cluster-admin` permissions to the Argo CD application controller service account.",,2,permissions; service-account; cluster-admin,Covers Kubernetes-level permissions. Module type: PROCEDURE (configuring-permissions.adoc)
task,Grant cluster-admin permissions to Argo CD,Create ClusterRoleBinding for application controller,Cluster Administrator,When I need to elevate permissions for the default instance,So the application controller can create cluster-scoped resources,cluster-admin role bound to openshift-gitops-argocd-application-controller service account,CONFIGURE,Configuring permissions,managing_cluster_configuration,"Run the following command: $ oc adm policy add-cluster-role-to-user --rolebinding-name=""openshift-gitops-cluster-admin"" cluster-admin -z openshift-gitops-argocd-application-controller -n openshift-gitops",,,rolebinding; permissions,"Module type: PROCEDURE (configuring-permissions.adoc), Lines 364-375"
task,Grant cluster-admin permissions to Argo CD,Verify ClusterRoleBinding,Cluster Administrator,When I need to confirm the permission grant succeeded,So I can ensure the application controller has the necessary access,ClusterRoleBinding YAML displayed showing correct role and subject,CONFIGURE,Configuring permissions,managing_cluster_configuration,View the created `ClusterRoleBinding` object: $ oc get clusterrolebinding openshift-gitops-cluster-admin -o yaml,,,verification; permissions,"Module type: PROCEDURE (configuring-permissions.adoc), Lines 379-401"
main_job,,Maintain version-controlled cluster configuration,Cluster Administrator,When managing cluster configuration through Git repositories,"So I can track changes, enable collaboration, and maintain audit history",Cluster configuration changes tracked in Git with full history and approval workflow,OPERATE,Managing OpenShift cluster configuration,managing_cluster_configuration,"Version control and auditability: Configuration changes committed to Git provide a complete history of modifications. This facilitates auditing, compliance, and accountability.",,,version-control; git; compliance,"Strategic benefit of GitOps approach. Module type: assembly (managing-openshift-cluster-configuration.adoc), Lines 8-9"
main_job,,Recover from cluster configuration failures,Cluster Administrator,When cluster configuration changes cause issues,So I can quickly rollback to a known-good state,Cluster restored to previous working configuration from Git history,TROUBLESHOOT,Managing OpenShift cluster configuration,managing_cluster_configuration,"Optimized performance and disaster recovery: GitOps points the Argo CD application to the previous commit or tag with a known-good state in Git, which in turn reduces downtime and helps with disaster recovery.",,,disaster-recovery; rollback; reliability,"Recovery workflow enabled by GitOps. Module type: assembly (managing-openshift-cluster-configuration.adoc), Lines 10"
main_job,,Scale cluster configuration management,Cluster Administrator,When managing complex or multi-cluster environments,So I can efficiently handle large-scale deployments with minimal manual effort,Multiple clusters managed consistently through automated GitOps workflows,OPTIMIZE,Managing OpenShift cluster configuration,managing_cluster_configuration,"Efficiency and Scalability: GitOps streamlines the deployment and operations workflows, enabling efficient management of complex and multi-cluster environments with reduced manual intervention and human error.",,,scalability; multi-cluster; automation,"Scalability benefit of GitOps. Module type: assembly (managing-openshift-cluster-configuration.adoc), Lines 12"
