Category (L!),Level 2 (Jobs),Level 3 (Jobs or Topics),Level 4 (Jobs or Topics),Topic (H2),H3,Full .adoc file path,Is a job?,Navtitle
,,,,Prepare your OpenAI environment,,jtbd-aem-conversion/integrate/ols-large-language-model-overview-openai.adoc,FALSE,
,,,,Prepare your OpenAI environment,,modules/ols-configuring-openai-using-an-api-key.adoc,FALSE,
,,,,Create the OpenAI credentials secret (API key),,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-openai.adoc,FALSE,
,,,,Create the OpenAI credentials secret (API key),,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-openai.adoc,FALSE,
,,,,How OpenShift AI vLLm serving runtime works,,modules/ols-about-openshift-ai-vllm.adoc,FALSE,
,,,,Create the OpenAI credentials secret (Projects),,modules/ols-configuring-openai-using-projects.adoc,FALSE,
,,,,Create the custom resource for OpenAI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-openai.adoc,FALSE,
,,,,Create the custom resource for OpenAI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-openai.adoc,FALSE,
,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-openai.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-openai.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-openai.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-openai.adoc,FALSE,Verify the deployment
,,Integrate OpenShift Lightspeed with Microsoft Azure OpenAI,,,,jtbd-aem-conversion/integrate/con-integrate-microsoft-azure-openai.adoc,FALSE,Integrate with Microsoft Azure OpenAI
,,,,What Microsoft Azure OpenAI requires for integration,,jtbd-aem-conversion/integrate/ols-large-language-model-requirements-azure-openai.adoc,FALSE,
,,,,Prepare your Microsoft Azure OpenAI environment,,jtbd-aem-conversion/integrate/ols-large-language-model-overview-azure-openai.adoc,FALSE,
,,,,Create the Microsoft Azure OpenAI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-azure-openai.adoc,FALSE,
,,,,Create the Microsoft Azure OpenAI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-azure-openai.adoc,FALSE,
,,,,Create the custom resource for Microsoft Azure OpenAI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-azure-openai.adoc,FALSE,
,,,,Create the custom resource for Microsoft Azure OpenAI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-azure-openai.adoc,FALSE,
,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-azure-openai.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-azure-openai.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-azure-openai.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-azure-openai.adoc,FALSE,Verify the deployment
,,Integrate OpenShift Lightspeed with Red Hat Enterprise Linux AI,,,,jtbd-aem-conversion/integrate/con-integrate-rhelai.adoc,FALSE,Integrate with Red Hat Enterprise Linux AI
,,,,What Red Hat Enterprise Linux AI requires for integration,,jtbd-aem-conversion/integrate/ols-large-language-model-requirements-rhelai.adoc,FALSE,
,,,,Prepare your Red Hat Enterprise Linux AI environment,,jtbd-aem-conversion/integrate/ols-large-language-model-overview-rhelai.adoc,FALSE,
,,,,Create the RHELAI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-rhelai.adoc,FALSE,
,,,,Create the RHELAI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-rhelai.adoc,FALSE,
,,,,Create the custom resource for Red Hat Enterprise Linux AI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-rhelai.adoc,FALSE,
,,,,Create the custom resource for Red Hat Enterprise Linux AI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-rhelai.adoc,FALSE,
,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-rhelai.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-rhelai.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-rhelai.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-rhelai.adoc,FALSE,Verify the deployment
,,Integrate OpenShift Lightspeed with Red Hat OpenShift AI,,,,jtbd-aem-conversion/integrate/con-integrate-openshift-ai.adoc,FALSE,Integrate with Red Hat OpenShift AI
,,,,What Red Hat OpenShift AI requires for integration,,jtbd-aem-conversion/integrate/ols-large-language-model-requirements-openshift-ai.adoc,FALSE,
,,,,Prepare your Red Hat OpenShift AI environment,,jtbd-aem-conversion/integrate/ols-large-language-model-overview-openshift-ai.adoc,FALSE,
,,,,Create the OpenShift AI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-openshift-ai.adoc,FALSE,
,,,,Create the OpenShift AI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-openshift-ai.adoc,FALSE,
,,,,Create the custom resource for Red Hat OpenShift AI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-openshift-ai.adoc,FALSE,
,,,,Create the custom resource for Red Hat OpenShift AI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-openshift-ai.adoc,FALSE,
,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-openshift-ai.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-openshift-ai.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-openshift-ai.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-openshift-ai.adoc,FALSE,Verify the deployment
,,Integrate OpenShift Lightspeed with Google Vertex AI,,,,jtbd-aem-conversion/integrate/con-integrate-google-vertex-ai.adoc,FALSE,Integrate with Google Vertex AI
,,,,Which Google Vertex AI provider types are supported,,modules/ols-configuring-ref-google-vertex-ai-provider-types.adoc,FALSE,
,,,,Prepare and configure your Google Vertex AI environment,,modules/ols-configuring-proc-configuring-google-vertex-ai.adoc,FALSE,
,,,,Create the Google Vertex AI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-google-vertex-ai.adoc,FALSE,
,,,,Create the Google Vertex AI credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-google-vertex-ai.adoc,FALSE,
,,,,Create the custom resource for Google Vertex AI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-google-vertex-ai.adoc,FALSE,
,,,,Create the custom resource for Google Vertex AI,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-google-vertex-ai.adoc,FALSE,

,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-google-vertex-ai.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-google-vertex-ai.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-google-vertex-ai.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-google-vertex-ai.adoc,FALSE,Verify the deployment
,,Integrate OpenShift Lightspeed with AWS Bedrock,,,,jtbd-aem-conversion/integrate/con-integrate-aws-bedrock.adoc,FALSE,Integrate with AWS Bedrock
,,,,What AWS Bedrock requires for integration,,jtbd-aem-conversion/integrate/ols-large-language-model-requirements-aws-bedrock.adoc,FALSE,
,,,,Which AWS Bedrock authentication methods are supported,,modules/ols-con-aws-bedrock-authentication-types.adoc,FALSE,
,,,,Prepare and configure your AWS Bedrock environment,,modules/ols-proc-configuring-aws-bedrock.adoc,FALSE,
,,,,Create the AWS Bedrock credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-web-console-aws-bedrock.adoc,FALSE,
,,,,Create the AWS Bedrock credentials secret,,jtbd-aem-conversion/integrate/ols-creating-the-credentials-secret-using-cli-aws-bedrock.adoc,FALSE,
,,,,Create the custom resource for AWS Bedrock,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-web-console-aws-bedrock.adoc,FALSE,
,,,,Create the custom resource for AWS Bedrock,,jtbd-aem-conversion/integrate/ols-creating-lightspeed-custom-resource-file-using-cli-aws-bedrock.adoc,FALSE,

,,,,Configure custom TLS certificates,,jtbd-aem-conversion/integrate/ols-configuring-custom-tls-certificates-aws-bedrock.adoc,FALSE,
,,,,Configure trusted-ca certificates for LLM providers,,jtbd-aem-conversion/integrate/ols-support-for-trusted-ca-certificates-and-llm-providers-aws-bedrock.adoc,FALSE,
,,,,Configure a trusted CA certificate for the LLM,,jtbd-aem-conversion/integrate/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm-aws-bedrock.adoc,FALSE,
,,,,Verify the OpenShift Lightspeed deployment,,jtbd-aem-conversion/integrate/ols-verifying-openshift-lightspeed-deployment-aws-bedrock.adoc,FALSE,Verify the deployment
,Extend the Service with live cluster data and external tools,,,,,jtbd-aem-conversion/integrate/con-extend-ai-with-cluster-data.adoc,TRUE,Cluster data and external tools
,,,,How OpenShift Lightspeed accesses live cluster state,,modules/ols-about-cluster-interaction.adoc,FALSE,Live cluster access
,,,,,Disable cluster interaction,modules/ols-disabling-cluster-interaction.adoc,FALSE,
,,,,,Enable a custom MCP server,modules/ols-enabling-custom-mcp-server.adoc,FALSE,
,,,,,How authentication works for cluster introspection,modules/ols-con-authentication-flow-for-cluster-introspection.adoc,FALSE,
,Govern autonomous cluster operations,,,,,jtbd-aem-conversion/integrate/con-govern-ai-operations.adoc,TRUE,Autonomous operations governance
,,,,How OpenShift Lightspeed selects which tools to select,,modules/ols-about-query-based-tool-filtering.adoc,FALSE,Tools to select
,,,,Enable query-based tool filtering,,modules/ols-enabling-query-based-tool-filtering.adoc,FALSE,
,,,,How manual approval gates protect critical operations,,modules/ols-about-operation-approvals.adoc,FALSE,
,,,,Configure tool execution approval policies,,modules/ols-ref-tools-approval-configuration.adoc,FALSE,
Get Started,,,,,,,FALSE,
,Interact with OpenShift Lightspeed,,,,,jtbd-aem-conversion/get_started/con-interact-with-ai-assistant.adoc,TRUE,Interact with OpenShift Lightspeed
,,,,Ask your first question in the chat window,,modules/ols-initiating-chat-using-chat-window.adoc,FALSE,First question
,,,,How conversations and context history work,,modules/ols-about-lightspeed-conversations.adoc,FALSE,Conversations and context history
,,,,Sample conversations,,modules/ols-sample-dialogs-overview.adoc,FALSE,
,,,,Gets answers from OpenShift Lightspeed product documentation,,modules/ols-asking-general-information.adoc,FALSE,Find answers from product documentation
,,,,Refine answers with follow-up questions,,modules/ols-asking-related-questions.adoc,FALSE,Refine answers
,Improve response accuracy with feedback,,,,,jtbd-aem-conversion/get_started/con-improve-ai-accuracy-with-feedback.adoc,TRUE,Response feedback
,,,,Submit chat response quality feedback,,modules/ols-providing-feedback-for-conversation.adoc,FALSE,Submit feedback
,,,,Start a new chat conversation,,modules/ols-starting-a-new-chat.adoc,FALSE,New conversation
,Troubleshoot cluster issues using OpenShift Lightspeed,,,,,jtbd-aem-conversion/get_started/con-troubleshoot-cluster-issues.adoc,TRUE,Troubleshoot cluster issues
,,,,Provide operational context by attaching cluster resource objects,,modules/ols-attaching-a-resource-object-to-your-query.adoc,FALSE,Attach cluster resource objects
,,,,Analyze and remediate active cluster alerts,,modules/ols-using-lightspeed-to-troubleshoot-alerts.adoc,FALSE,Analyze and remediate active cluster alerts
Configure,,,,,,,FALSE,
,Enable external access to the OpenShift Lightspeed Service,,,,,jtbd-aem-conversion/configure/con-expose-lightspeed-service.adoc,TRUE,External access
,,,,Use a route to enable the OpenShift Lightspeed Service,,modules/ols-proc-expose-the-ols-service-by-using-a-route.adoc,FALSE,Use a route to enable the Service
,Maintain conversation consistency,,,,,jtbd-aem-conversion/configure/con-configure-persistent-cache-storage.adoc,TRUE,Conversation persistence
,,,,How conversation history is retained across sessions,,modules/ols-about-postgresql-persistence.adoc,FALSE,
,,,,Enable PostgreSQL persistence,,modules/ols-enabling-postgresql-persistence.adoc,FALSE,
,,,,Override default Persistent Volume Claim (PVC) specifications,,modules/ols-overriding-default-persistent-volume-claim-specifications.adoc,FALSE,Override default PVC specifications
,Enhance responses with your documentation,,,,,jtbd-aem-conversion/configure/con-enhance-ai-responses-with-custom-knowledge.adoc,TRUE,Custom documentation
,,,,How the Offline Knowledge portal retrieves documentation,,modules/ols-about-the-offline-knowledge-portal.adoc,FALSE,
,,,,How custom documentation extends OpenShift Lightspeed answers,,modules/ols-about-the-byo-knowledge-tool.adoc,FALSE,How custom documentation extends answers
,,,,,How document titles and URLs appear in OpenShift Lightspeed responses,modules/ols-about-document-title-and-url.adoc,FALSE,How document titles and URLs appear in responses
,,,,,Provide custom knowledge to the LLM,modules/ols-providing-custom-knowledge-to-the-llm.adoc,FALSE,Provide custom knowledge to the LLM
,,,,,Disable the default documentation retrieval database,modules/ols-disabling-ocp-documentation-rag-database.adoc,FALSE,Disable the default documentation retrieval database
,Control infrastructure costs using token quotas,,,,,jtbd-aem-conversion/configure/con-control-costs-with-token-quotas.adoc,TRUE,Control costs with token quotas
,,,,How resource consumption is managed and capped,,modules/ols-tokens-and-token-quota-limits.adoc,FALSE,Resource consumption
,,,,Activate token quota limits,,modules/ols-activating-token-quota-limits.adoc,FALSE,
,Configure audit logging and distributed tracing,,,,,jtbd-aem-conversion/configure/con-configure-audit-logging-tracing.adoc,TRUE,Audit logging and tracing
,,,,How the OpenTelemetry Collector handles audit and trace data,,modules/ols-about-the-opentelemetry-collector.adoc,FALSE,
,,,,How the OpenTelemetry Collector handles audit and trace data,,modules/ols-configure-audit-logging-tracing.adoc,FALSE,
Secure,,,,,,,FALSE,
,Protect user privacy by filtering sensitive data,,,,,jtbd-aem-conversion/secure/con-protect-user-privacy.adoc,TRUE,Privacy and data filtering
,,,,Filter and redact sensitive information,,modules/ols-filtering-and-redacting-information.adoc,FALSE,Filter and redact sensitive information
,,,,Disable data collection for the OpenShift Lightspeed Service,,modules/ols-disabling-data-collection-operator.adoc,FALSE,Disable data collection
Administer,,,,,,,FALSE,
,Configure authentication and access control,,,,,,TRUE,Authentication and access control
,,,,Role-based access control (RBAC) framework for OpenShift Lightspeed,,modules/ols-about-lightspeed-and-role-based-access-control.adoc,FALSE,RBAC framework for OpenShift Lightspeed
,,,,,Grant user access using the CLI,modules/ols-granting-a-user-access-by-using-the-cli.adoc,FALSE,
,,,,,Grant user access using a YAML configuration file,modules/ols-granting-a-user-access-by-using-yaml-configuration-file.adoc,FALSE,Grant user access using YAML
,,,,,Grant user group access using the CLI,modules/ols-granting-user-group-access-by-using-cli.adoc,FALSE,
,,,,,Grant user group access using a YAML configuration file,modules/ols-granting-user-group-access-by-using-configuration-file.adoc,FALSE,Grant user group access using YAML
,,,,,Grant access to an individual user,modules/ols-granting-access-to-individual-users.adoc,FALSE,
,,,,,Obtain an authentication token for the OpenShift Lightspeed API,modules/ols-obtain-lightspeed-authentication-token.adoc,FALSE,Obtain an authentication token
,,,,Define how authentication is enforced,,,FALSE,Authentication enforcement
,,,,,Configure REST API authentication modules,modules/ols-ref-rest-api-authentication-configurations.adoc,FALSE,
Develop,,,,,,,FALSE,
,Build API integrations with OpenShift Lightspeed,,,,,jtbd-aem-conversion/develop/con-build-api-integrations.adoc,TRUE,Build API integrations
,,,,Authenticate programmatic API requests,,modules/ols-authenticate-api-requests.adoc,FALSE,
,,,,Authenticate proxy calls for MCP servers,,modules/ols-provide-authentication-mcp-server.adoc,FALSE,
,,,,Connect external automation tools to the REST API,,modules/ols-proc-access-the-rest-api-directly.adoc,FALSE,
,,,,,Generate and validate authorization tokens,modules/ols-proc-authenticate-with-the-api.adoc,FALSE,
,,,,Test and verify API endpoints with the Swagger UI,,modules/ols-proc-explore-the-rest-api-by-using-the-swagger-ui.adoc,FALSE,
,,,,Update the OpenAPI schema to prevent documentation drift,,modules/ols-proc-regenerate-the-openapi-schema.adoc,FALSE,Update the OpenAPI schema
,Look up API specifications and troubleshoot integration errors,,,,,,TRUE,API specifications and errors
,,,,OLSConfig API schema reference,,,FALSE,
,,,,,OLSConfig API specifications,modules/ols-olsconfig-api-specifications.adoc,FALSE,
,,,,,OLSConfig field reference for Google Vertex AI,modules/ols-configuring-ref-olsconfig-google-vertex-fields.adoc,FALSE,
,,,,,OLSConfig field reference for AWS Bedrock,modules/ols-ref-olsconfig-aws-bedrock-fields.adoc,FALSE,
,,,,Authentication requirements by API endpoint,,modules/ols-api-authentication-matrix.adoc,FALSE,
,,,,Supported REST API endpoints and methods,,modules/ols-ref-api-endpoints-reference.adoc,FALSE,
,,,,Schema formats for query payloads,,modules/ols-ref-supported-attachement-formats.adoc,FALSE,
,,,,REST API HTTP status codes and error causes,,modules/ols-ref-api-error-handling.adoc,FALSE,
,,,,OpenAPI specifications and local documentation endpoints,,modules/ols-con-openshift-lightspeed-rest-api-specifications.adoc,FALSE,
Troubleshoot,,,,,,,FALSE,
,Troubleshoot platform installation and access,,,,,jtbd-aem-conversion/troubleshoot/con-troubleshoot-installation-access.adoc,TRUE,Installation and access issues
,,,,Resolve 502 Bad Gateway errors in the interface,,modules/ols-502-bad-gateway-errors.adoc,FALSE,Resolve 502 Bad Gateway errors
,,,,Troubleshoot missing Operator in the OperatorHub,,modules/ols-operator-missing-from-operatorhub-list.adoc,FALSE,
,,,,Troubleshoot API authentication failures,,modules/ols-troubleshoot-api-authentication-failures.adoc,FALSE,
,,,,Troubleshoot rejected Google Vertex AI configurations,,modules/ols-ref-google-vertex-ai-configuration-resource-is-rejected.adoc,FALSE,
,Troubleshoot model responses and token limits,,,,,jtbd-aem-conversion/troubleshoot/con-troubleshoot-model-responses.adoc,TRUE,Model response issues
,,,,Suppress reasoning model delineator tags,,modules/ols-reasoning-model-generates-delineator-prompt.adoc,FALSE,
,,,,Resolve prompt is too long errors,,modules/ols-proc-error-prompt-is-too-long.adoc,FALSE,
,,,,Resolve truncated model responses,,modules/ols-proc-resolving-truncated-responses.adoc,FALSE,
,,,,Resolve conversation history truncation,,modules/ols-proc-resolving-issues-with-conversation-history.adoc,FALSE,
