record_type,job_id,parent_job,job_statement,workflow_stage,persona,section,context,motivation,approach,alternatives,acceptance_criteria,steps,tools,evidence,notes,source_file,doc_identifier
user_story,11,10,Label namespaces for Argo CD management,CONFIGURE,Platform Administrator,Deploying resources to a different namespace,Granting Argo CD access to additional namespaces,extend Argo CD management scope beyond its installation namespace,Apply argocd.argoproj.io/managed-by label to target namespace,,Argo CD can deploy and manage resources in labeled namespace,,,Configure the target namespace by running the following command: $ oc label namespace <target_namespace> argocd.argoproj.io/managed-by=<argocd_namespace>,Module type: PROCEDURE; Simple label-based access control,argocd_instance-combined.adoc,argocd_instance
user_story,12,1,Customize Argo CD console link in multitenant clusters,CONFIGURE,Platform Administrator,Customizing the Argo CD console link,Multiple Argo CD instances in cluster,prevent confusion when multiple Argo CD instances exist,Set DISABLE_DEFAULT_ARGOCD_CONSOLELINK environment variable,,Console link behavior matches administrator intent (enabled or disabled),,,"In a multitenant cluster, users might have to deal with many instances of Argo CD. After installing an Argo CD instance in your namespace, the Argo CD console link in the Console Application Launcher might open another Argo CD instance",Module type: PROCEDURE; Controls whether console link is permanently or temporarily deleted,argocd_instance-combined.adoc,argocd_instance
main_job,13,,Configure image pull policies,CONFIGURE,Platform Administrator,Configuring ImagePullPolicy,Managing container image updates and caching,control how and when container images are pulled,,,,,,The {gitops-shortname} Operator lets administrators configure `imagePullPolicy` at multiple levels to control how Argo CD components pull container images,Module type: CONCEPT; Hierarchical precedence: instance > global > default,argocd_instance-combined.adoc,argocd_instance
user_story,14,13,Set global image pull policy,CONFIGURE,Platform Administrator,Configuring ImagePullPolicy,Need consistent image pull behavior across all Argo CD instances,enforce consistent image update behavior,Set IMAGE_PULL_POLICY environment variable in operator subscription,Set at instance level using spec.imagePullPolicy,All Argo CD instances use the configured pull policy,,,You can define a global image pull policy for all Argo CD instances managed by the Operator by setting the `IMAGE_PULL_POLICY` environment variable,Module type: CONCEPT; Can be overridden at instance level,argocd_instance-combined.adoc,argocd_instance
main_job,15,,Understand Argo CD custom resource structure,REFERENCE,Platform Administrator; Application Developer,Argo CD custom resource properties,Configuring Argo CD instances,understand available configuration options,,,,,,The `Argo CD` custom resource is a Kubernetes Custom Resource (CRD) that describes the desired state for a given Argo CD cluster and allows you to configure the components which make up an Argo CD cluster,Module type: REFERENCE; Comprehensive property reference table,argocd_instance-combined.adoc,argocd_instance
user_story,16,15,Configure ApplicationSet controller,CONFIGURE,Platform Administrator,Argo CD custom resource properties,Managing multiple applications with similar patterns,automate multi-application management,Configure applicationSet property in ArgoCD CR,,ApplicationSet controller is enabled and configured,,,ApplicationSet Controller configuration options... enabled - The flag to use to enable the ApplicationSet Controller during the Argo CD installation,"Supports annotations, resources, log levels, source namespaces, webhook server",argocd_instance-combined.adoc,argocd_instance
user_story,17,15,Enable controller sharding for large-scale deployments,SCALE,Platform Administrator,Argo CD custom resource properties,Managing large number of clusters,manage large numbers of clusters efficiently,Configure sharding properties in controller spec,Enable dynamic scaling based on cluster count,Controller replicas are sharded; Memory pressure is reduced,,,sharding.enabled - Enable sharding on the Argo CD Application Controller component. Use this property to manage a large number of clusters and relieve memory pressure on the controller component,Supports static replicas or dynamic scaling based on clusters per shard,argocd_instance-combined.adoc,argocd_instance
user_story,18,15,Configure high availability with Redis,SCALE,Platform Administrator,Argo CD custom resource properties,Production deployments requiring redundancy,ensure service availability and fault tolerance,Enable HA mode in ArgoCD CR,,Redis HA proxy is deployed; HA is enabled globally,,,ha - High-availability options... enabled - Toggle high-availability support globally for Argo CD,Includes Redis HAProxy configuration options,argocd_instance-combined.adoc,argocd_instance
user_story,19,15,Configure RBAC policies,SECURE,Platform Administrator,Argo CD custom resource properties,Controlling user access and permissions,control access and enforce authorization policies,Define RBAC properties in ArgoCD CR,,RBAC policies are enforced; Users have appropriate permissions,,,rbac - RBAC configuration options... defaultPolicy - The name of the default role that Argo CD falls back to when authorizing API requests... policy - CSV data about user-defined RBAC policies and role definitions,Supports policy matcher modes (glob or regex) and OIDC scope configuration,argocd_instance-combined.adoc,argocd_instance
user_story,20,15,Configure TLS and certificate management,SECURE,Platform Administrator,Argo CD custom resource properties,Securing connections to Git repositories and external services,secure communications and establish trust,Configure TLS and initialSSHKnownHosts in ArgoCD CR,,TLS certificates are configured; SSH known hosts are defined,,,tls - TLS configuration options... ca.configMapName - The name of the `ConfigMap` which contains the CA certificate... initialSSHKnownHosts - Defines the initial SSH Known Hosts data for Argo CD,Supports both HTTPS (TLS certs) and SSH (known hosts) connections,argocd_instance-combined.adoc,argocd_instance
main_job,21,,Configure Argo CD repo server,CONFIGURE,Platform Administrator,Repo server properties,Customizing repo server behavior and capabilities,optimize manifest generation and repository interactions,,,,,,The following properties are available for configuring the repo server component,Module type: REFERENCE; Repo server handles manifest generation from Git repositories,argocd_instance-combined.adoc,argocd_instance
user_story,22,21,Configure TLS trust for repo server,SECURE,Platform Administrator,Configure TLS trust for the repo server,Accessing repositories with custom CA certificates,enable repo server to trust custom certificate authorities,Inject custom TLS certificates via secrets and config maps using systemCATrust,,Repo server trusts custom CAs; Plugin workflows can access TLS-enabled resources,,,You can configure the repo server to trust additional certificate authorities (CAs) by injecting custom TLS certificates into the repo server container and its Config Management Plugin sidecar containers,Module type: CONCEPT; Supports wildcard certificates; Enables advanced plugin workflows,argocd_instance-combined.adoc,argocd_instance
user_story,23,21,Configure execution timeout for rendering tools,CONFIGURE,Platform Administrator,Repo server properties,Using Helm or Kustomize with large manifests,prevent timeouts when rendering complex manifests,Set execTimeout property in repo spec,,Rendering tools have sufficient time to complete,,,"execTimeout - Execution timeout in seconds for rendering tools, for example, Helm or Kustomize",Default is 180 seconds,argocd_instance-combined.adoc,argocd_instance
main_job,24,,Set up notifications for Argo CD events,MONITOR,Platform Administrator; Application Developer,Enabling notifications,Tracking application sync status and failures,receive alerts when important events occur,,,,,,"Argo CD notifications allow you to send notifications to external services when events occur in your Argo CD instance. For example, you can send notifications to Slack or email when a sync operation fails",Notifications are disabled by default,argocd_instance-combined.adoc,argocd_instance
user_story,25,24,Enable notifications for Argo CD instance,MONITOR,Platform Administrator,Enabling notifications with an Argo CD instance,Need to receive alerts about Argo CD events,receive alerts when events occur in Argo CD,Set spec.notifications.enabled to true in ArgoCD CR,Use oc patch command,Notifications controller is enabled and running,,,To enable notifications for an Argo CD instance using the {OCP} web console... set the `spec.notifications.enabled` parameter to `true`,Module type: PROCEDURE; Can enable via web console or CLI,argocd_instance-combined.adoc,argocd_instance
user_story,26,24,Configure notification templates and triggers,MONITOR,Platform Administrator,NotificationsConfiguration custom resource properties,Customizing notification messages and conditions,customize when and how notifications are sent,"Configure NotificationsConfiguration CR with templates, triggers, services, and subscriptions",,Notification templates are defined; Triggers are configured; Services are integrated,,,"The `NotificationsConfiguration` resource is a Kubernetes custom resource (CR) that manages notifications... you can add templates, triggers, services, and subscription resources",Module type: CONCEPT; default-notifications-configuration CR is created automatically,argocd_instance-combined.adoc,argocd_instance
task,27,26,Add notification template,MONITOR,Platform Administrator,NotificationsConfiguration custom resource properties,Defining notification message format,customize notification message content,,,,Edit NotificationsConfiguration CR; Add template under spec.templates; Define message format using Go templating,OpenShift web console; oc CLI,Templates are used to generate the notification template message... spec.templates: template.my-custom-template,Uses Go templating with context variables like .app.metadata.name,argocd_instance-combined.adoc,argocd_instance
task,28,26,Add notification trigger,MONITOR,Platform Administrator,NotificationsConfiguration custom resource properties,Defining when notifications are sent,control when notifications are triggered,,,,Edit NotificationsConfiguration CR; Add trigger under spec.triggers; Define condition and templates to send,OpenShift web console; oc CLI,Triggers are used to define the condition when a notification is sent to the user and the list of templates required to generate the message,"Conditions use CEL-like expressions (e.g., app.status.sync.status == 'Unknown')",argocd_instance-combined.adoc,argocd_instance
task,29,26,Configure notification service,MONITOR,Platform Administrator,NotificationsConfiguration custom resource properties,Integrating with external notification services,deliver notifications to external platforms,,,,Edit NotificationsConfiguration CR; Add service under spec.services; Configure service credentials and settings,OpenShift web console; oc CLI,"Services are used to deliver a message... service.slack: token, username, icon","Supports Slack, email, and other notification services",argocd_instance-combined.adoc,argocd_instance
user_story,30,24,Configure notifications in delegated namespaces,MONITOR,Platform Administrator,Configuring notifications in any Namespace,Multi-tenant environment where teams manage their own notifications,enable teams to manage their own notification settings,Configure sourceNamespaces and notifications.sourceNamespaces in ArgoCD CR,,Teams can manage notification configuration in their namespaces,,,"By default, Argo CD manages notification configuration only within the control plane namespace. With {gitops-title} Operator, cluster administrators can enable teams to manage notification settings for their applications from additional namespaces",Module type: PROCEDURE; Operator creates NotificationsConfiguration CR in each delegated namespace,argocd_instance-combined.adoc,argocd_instance
user_story,31,1,Enable Config Management Plugins,EXTEND,Platform Administrator,Enabling Config Management Plugins in an Argo CD CR,"Need to use tools beyond Helm, Jsonnet, and Kustomize",use custom config management tools or enable additional features,Configure sidecar container in ArgoCD CR repo spec,,Config Management Plugin is running as sidecar; Custom tool is available,,,"Argo CD provides support for Helm, Jsonnet, and Kustomize as built-in config management tools. To use a different config management tool, or to enable features not provided by the built-in config management tools, you can use the Config Management Plugin (CMP)",Module type: CONCEPT; Plugin runs as sidecar container in repo server,argocd_instance-combined.adoc,argocd_instance
main_job,32,,Configure multi-instance Argo CD deployments,CONFIGURE,Platform Administrator,Enabling annotation-based resource tracking,Multiple Argo CD instances managing resources,prevent conflicts and enable parallel operation of multiple instances,,,,,,{gitops-title} Operator enhances multi-instance support by improving annotation-based resource tracking in Argo CD.Multiple Argo CD instances can use annotation-based tracking by assigning each instance a unique `installationID`,Module type: CONCEPT; Prevents resource tracking conflicts,argocd_instance-combined.adoc,argocd_instance
user_story,33,32,Configure annotation-based tracking in multiple instances,CONFIGURE,Platform Administrator,Configuring annotation-based tracking in multiple Argo CD instances,Multiple Argo CD instances with potentially identical application names,prevent conflicts and enable safe parallel operation,Set unique installationID and resourceTrackingMethod in each ArgoCD CR,,Each instance has unique installationID; Resource tracking uses annotation+label; Instances operate without conflicts,,,"Multiple Argo CD instances can use annotation-based tracking by assigning each instance a unique `installationID`, which enables them to correctly differentiate resources with identical application names, prevent conflicts, avoid infinite sync loops",Module type: PROCEDURE; Must label namespaces to associate with correct instance,argocd_instance-combined.adoc,argocd_instance
