Category (L1)	Level 2 (Jobs)	Level 3 (Jobs or Topics)	Level 4 (Jobs or Topics)	Topic (H2)	H3	Full .adoc file path	Is a job?	Navtitle
		Integrate OpenShift Lightspeed with Microsoft Azure OpenAI				integrate/ols-integrate-microsoft-azure-openai.adoc	FALSE	Integrate with Microsoft Azure OpenAI
				What Microsoft Azure OpenAI requires for integration		modules/ols-large-language-model-requirements.adoc	FALSE	What Microsoft Azure OpenAI requires for integration
				Prepare your Microsoft Azure OpenAI environment		modules/ols-large-language-model-overview.adoc	FALSE	Prepare your Microsoft Azure OpenAI environment
				Create the Microsoft Azure OpenAI credentials secret		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the Microsoft Azure OpenAI credentials secret
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				Create the custom resource for Microsoft Azure OpenAI		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for Microsoft Azure OpenAI
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
		Integrate OpenShift Lightspeed with Red Hat Enterprise Linux AI				integrate/ols-integrate-rhelai.adoc	FALSE	Integrate with Red Hat Enterprise Linux AI
				What Red Hat Enterprise Linux AI requires for integration		modules/ols-large-language-model-requirements.adoc	FALSE	What Red Hat Enterprise Linux AI requires for integration
				Prepare your Red Hat Enterprise Linux AI environment		modules/ols-large-language-model-overview.adoc	FALSE	Prepare your Red Hat Enterprise Linux AI environment
				Create the RHELAI credentials secret		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the RHELAI credentials secret
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				Create the custom resource for Red Hat Enterprise Linux AI		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for Red Hat Enterprise Linux AI
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
		Integrate OpenShift Lightspeed with Red Hat OpenShift AI				integrate/ols-integrate-openshift-ai.adoc	FALSE	Integrate with Red Hat OpenShift AI
				What Red Hat OpenShift AI requires for integration		modules/ols-large-language-model-requirements.adoc	FALSE	What Red Hat OpenShift AI requires for integration
				Prepare your Red Hat OpenShift AI environment		modules/ols-large-language-model-overview.adoc	FALSE	Prepare your Red Hat OpenShift AI environment
				Create the OpenShift AI credentials secret		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the OpenShift AI credentials secret
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				Create the custom resource for Red Hat OpenShift AI		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for Red Hat OpenShift AI
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
		Integrate OpenShift Lightspeed with Google Vertex AI				integrate/ols-integrate-google-vertex-ai.adoc	FALSE	Integrate with Google Vertex AI
				Which Google Vertex AI provider types are supported		modules/ols-configuring-ref-google-vertex-ai-provider-types.adoc	FALSE	Which Google Vertex AI provider types are supported
				Prepare and configure your Google Vertex AI environment		modules/ols-configuring-proc-configuring-google-vertex-ai.adoc	FALSE	Prepare and configure your Google Vertex AI environment
				Create the Google Vertex AI credentials secret		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the Google Vertex AI credentials secret
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				Create the custom resource for Google Vertex AI		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for Google Vertex AI
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				How the OLSConfig custom resource is structured for Google Vertex AI		modules/ols-configuring-ref-olsconfig-google-vertex-fields.adoc	FALSE	How the OLSConfig custom resource is structured for Google Vertex AI
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
		Integrate OpenShift Lightspeed with AWS Bedrock				integrate/ols-integrate-aws-bedrock.adoc	FALSE	Integrate with AWS Bedrock
				What AWS Bedrock requires for integration		modules/ols-large-language-model-requirements.adoc	FALSE	What AWS Bedrock requires for integration
				Which AWS Bedrock authentication methods are supported		modules/ols-con-aws-bedrock-authentication-types.adoc	FALSE	Which AWS Bedrock authentication methods are supported
				Prepare and configure your AWS Bedrock environment		modules/ols-proc-configuring-aws-bedrock.adoc	FALSE	Prepare and configure your AWS Bedrock environment
				Create the AWS Bedrock credentials secret		modules/ols-creating-the-credentials-secret-using-web-console.adoc	FALSE	Create the AWS Bedrock credentials secret
					Create the credentials secret by using the CLI	modules/ols-creating-the-credentials-secret-using-cli.adoc	FALSE	Create the credentials secret by using the CLI
				Create the custom resource for AWS Bedrock		modules/ols-creating-lightspeed-custom-resource-file-using-web-console.adoc	FALSE	Create the custom resource for AWS Bedrock
					Create the custom resource file by using the CLI	modules/ols-creating-lightspeed-custom-resource-file-using-cli.adoc	FALSE	Create the custom resource file by using the CLI
				How the OLSConfig custom resource is structured for AWS Bedrock		modules/ols-ref-olsconfig-aws-bedrock-fields.adoc	FALSE	How the OLSConfig custom resource is structured for AWS Bedrock
				Configure custom TLS certificates		modules/ols-configuring-custom-tls-certificates.adoc	FALSE	Configure custom TLS certificates
				Configure trusted-ca certificates for LLM providers		modules/ols-support-for-trusted-ca-certificates-and-llm-providers.adoc	FALSE	Configure trusted-ca certificates for LLM providers
				Configure a trusted CA certificate for the LLM		modules/ols-configuring-lightspeed-with-a-trusted-ca-certificate-for-the-llm.adoc	FALSE	Configure a trusted CA certificate for the LLM
				Verify the OpenShift Lightspeed deployment		modules/ols-verifying-openshift-lightspeed-deployment.adoc	FALSE	Verify the OpenShift Lightspeed deployment
	Extend the Service with live cluster data and external tools					integrate/ols-extend-ai-with-cluster-data.adoc	TRUE	Extend the Service with live cluster data and external tools
				How OpenShift Lightspeed accesses live cluster state		modules/ols-about-cluster-interaction.adoc	FALSE	How the AI accesses live cluster state
					Disable cluster interaction	modules/ols-disabling-cluster-interaction.adoc	FALSE	Disable cluster interaction
					Enable a custom MCP server	modules/ols-enabling-custom-mcp-server.adoc	FALSE	Enable a custom MCP server
					How authentication works for cluster introspection	modules/ols-con-authentication-flow-for-cluster-introspection.adoc	FALSE	How authentication works for cluster introspection
	Govern with operations OpenShift Lightspeed performs autonomously					integrate/ols-govern-ai-operations.adoc	TRUE	Govern autonomous OpenShift Lightspeed operations
				How OpenShift Lightspeed selects which tools to invoke		modules/ols-about-query-based-tool-filtering.adoc	FALSE	How the AI selects which tools to invoke
					Enable query-based tool filtering	modules/ols-enabling-query-based-tool-filtering.adoc	FALSE	Enable query-based tool filtering
					How manual approval gates protect critical operations	modules/ols-about-operation-approvals.adoc	FALSE	How manual approval gates protect critical operations
					Configure tool execution approval policies	modules/ols-ref-tools-approval-configuration.adoc	FALSE	Configure tool execution approval policies
Get Started							FALSE
	Interact with OpenShift Lightspeed					get_started/ols-interact-with-ai-assistant.adoc	TRUE	Interact with OpenShift Lightspeed
				Ask your first question in the chat window		modules/ols-initiating-chat-using-chat-window.adoc	FALSE	Ask your first question in the chat window
				How conversations and context history work		modules/ols-about-lightspeed-conversations.adoc	FALSE	How conversations and context history work
				Sample conversations		modules/ols-sample-dialogs-overview.adoc	FALSE
				Find OpenShift product documentation by using OpenShift Lightspeed		modules/ols-asking-general-information.adoc	FALSE	Find OpenShift product documentation
				Refine answers with follow-up questions		modules/ols-asking-related-questions.adoc	FALSE	Refine answers with follow-up questions
	Improve OpenShift Lightspeed accuracy by submitting response feedback					get_started/ols-improve-ai-accuracy-with-feedback.adoc	TRUE	Improve accuracy with feedback
				Submit chat response quality feedback		modules/ols-providing-feedback-for-conversation.adoc	FALSE	Submit chat response quality feedback
				Start a new chat conversation		modules/ols-starting-a-new-chat.adoc	FALSE	Start a new chat conversation
	Troubleshoot cluster issues using OpenShift Lightspeed					get_started/ols-troubleshoot-cluster-issues.adoc	TRUE	Troubleshoot cluster issues
				Provide operational context by attaching cluster resource objects		modules/ols-attaching-a-resource-object-to-your-query.adoc	FALSE	Attach cluster resource objects
				Analyze and remediate active cluster alerts		modules/ols-using-lightspeed-to-troubleshoot-alerts.adoc	FALSE	Analyze and remediate active cluster alerts
Configure							FALSE
	Enable external access to the OpenShift Lightspeed Service					configure/ols-enable-external-access-to-the-service.adoc	TRUE	Enable external access to the Service
				Use a route to enable the OpenShift Lightspeed Service		modules/ols-proc-expose-the-ols-service-by-using-a-route.adoc	FALSE	Expose the Service using a route
	Maintain conversation consistency					configure/ols-configure-persistent-cache-storage.adoc	TRUE	Configure persistent cache storage
				How conversation history is retained across sessions		modules/ols-about-postgresql-persistence.adoc	FALSE	How conversation history is retained across sessions
					Enable PostgreSQL persistence	modules/ols-enabling-postgresql-persistence.adoc	FALSE	Enable PostgreSQL persistence
					Override default Persistent Volume Claim (PVC) specifications	modules/ols-overriding-default-persistent-volume-claim-specifications.adoc	FALSE	Override default PVC specifications
	Enhance responses with your documentation					configure/ols-enhance-ai-responses-with-custom-knowledge.adoc	TRUE	Enhance responses with your documentation
				How the Offline Knowledge portal retrieves documentation		modules/ols-about-the-offline-knowledge-portal.adoc	FALSE	How the Offline Knowledge Portal retrieves documentation
				How custom documentation extends AI answers		modules/ols-about-the-byo-knowledge-tool.adoc	FALSE	How custom documentation extends AI answers
					How document titles and URLs appear in AI responses	modules/ols-about-document-title-and-url.adoc	FALSE	How document titles and URLs appear in AI responses
					Provide custom knowledge to the LLM	modules/ols-providing-custom-knowledge-to-the-llm.adoc	FALSE	Provide custom knowledge to the LLM
					Disable the default documentation retrieval database	modules/ols-disabling-ocp-documentation-rag-database.adoc	FALSE	Disable the default documentation retrieval database
	Control infrastructure costs using token quotas					configure/ols-control-costs-with-token-quotas.adoc	TRUE	Control costs with token quotas
				How resource consumption is managed and capped		modules/ols-tokens-and-token-quota-limits.adoc	FALSE	How resource consumption is managed and capped
					Activate token quota limits	modules/ols-activating-token-quota-limits.adoc	FALSE	Activate token quota limits
	Configure audit logging and distributed tracing					configure/ols-configure-audit-logging-tracing.adoc	TRUE	Configure audit logging and tracing
				How the OpenTelemetry Collector handles audit and trace data		modules/ols-about-the-opentelemetry-collector.adoc	FALSE	How the OpenTelemetry Collector handles audit and trace data
					modules/ols-configure-audit-logging-tracing.adoc	FALSE
Secure							FALSE
	Protect user privacy by filtering sensitive data					secure/ols-protect-user-privacy.adoc	TRUE	Protect user privacy
				Filter and redact sensitive information		modules/ols-filtering-and-redacting-information.adoc	FALSE	Filter and redact sensitive information
				Disable data collection for the OpenShift Lightspeed Service		modules/ols-disabling-data-collection-operator.adoc	FALSE	Disable data collection for the Service
	Configure authentication and access control					secure/ols-configure-authentication-access-control.adoc	TRUE	Configure authentication and access control
				Role-based access control (RBAC) framework for OpenShift Lightspeed		modules/ols-about-lightspeed-and-role-based-access-control.adoc	FALSE	RBAC framework for OpenShift Lightspeed
					Grant user access using the CLI	modules/ols-granting-a-user-access-by-using-the-cli.adoc	FALSE	Grant user access using the CLI
					Grant user access using a YAML configuration file	modules/ols-granting-a-user-access-by-using-yaml-configuration-file.adoc	FALSE	Grant user access using YAML
					Grant user group access using the CLI	modules/ols-granting-user-group-access-by-using-cli.adoc	FALSE	Grant user group access using the CLI
					Grant user group access using a YAML configuration file	modules/ols-granting-user-group-access-by-using-configuration-file.adoc	FALSE	Grant user group access using YAML
					Grant access to an individual user	modules/ols-granting-access-to-individual-users.adoc	FALSE	Grant access to an individual user
					Obtain an authentication token for the OpenShift Lightspeed API	modules/ols-obtain-lightspeed-authentication-token.adoc	FALSE	Obtain an authentication token
				REST API authentication modules		configure/olsconfigure-rest-api-authentication-configuration.adoc	FALSE	REST API authentication modules
					Configure REST API authentication modules	modules/ols-ref-rest-api-authentication-configurations.adoc	FALSE	Configure REST API authentication modules
Develop							FALSE
	Build API integrations with OpenShift Lightspeed					develop/ols-build-api-integrations.adoc	TRUE	Build API integrations
				Authenticate programmatic API requests		modules/ols-authenticate-api-requests.adoc	FALSE	Authenticate programmatic API requests
				Authenticate proxy calls for MCP servers		modules/ols-provide-authentication-mcp-server.adoc	FALSE	Authenticate proxy calls for MCP servers
				Connect external automation tools to the REST API		modules/ols-proc-access-the-rest-api-directly.adoc	FALSE	Connect external automation tools to the REST API
					Generate and validate authorization tokens	modules/ols-proc-authenticate-with-the-api.adoc	FALSE	Generate and validate authorization tokens
				Test and verify API endpoints with the Swagger UI		modules/ols-proc-explore-the-rest-api-by-using-the-swagger-ui.adoc	FALSE	Test and verify API endpoints with Swagger UI
				Update the OpenAPI schema to prevent documentation drift		modules/ols-proc-regenerate-the-openapi-schema.adoc	FALSE	Update the OpenAPI schema
	Look up API specifications and troubleshoot integration errors					develop/ols-look-up-api-specifications.adoc	TRUE	Look up API specifications
				OLSConfig API schema reference		configure/olsconfigure-api.adoc	FALSE	OLSConfig API schema reference
					OLSConfig API specifications	modules/ols-olsconfig-api-specifications.adoc	FALSE	OLSConfig API specifications
					OLSConfig field reference for Google Vertex AI	modules/ols-configuring-ref-olsconfig-google-vertex-fields.adoc	FALSE	OLSConfig field reference for Google Vertex AI
					OLSConfig field reference for AWS Bedrock	modules/ols-ref-olsconfig-aws-bedrock-fields.adoc	FALSE	OLSConfig field reference for AWS Bedrock
				Authentication requirements by API endpoint		modules/ols-api-authentication-matrix.adoc	FALSE	Authentication requirements by API endpoint
				Supported REST API endpoints and methods		modules/ols-ref-api-endpoints-reference.adoc	FALSE	Supported REST API endpoints and methods
				Schema formats for query payloads		modules/ols-ref-supported-attachement-formats.adoc	FALSE	Schema formats for query payloads
				REST API HTTP status codes and error causes		modules/ols-ref-api-error-handling.adoc	FALSE	REST API HTTP status codes and error causes
				OpenAPI specifications and local documentation endpoints		modules/ols-con-openshift-lightspeed-rest-api-specifications.adoc	FALSE	OpenAPI specifications and local documentation endpoints
Troubleshoot							FALSE
	Troubleshoot platform installation and access					troubleshoot/ols-troubleshoot-installation-access.adoc	TRUE	Troubleshoot installation and access
				Resolve 502 Bad Gateway errors in the interface		modules/ols-502-bad-gateway-errors.adoc	FALSE	Resolve 502 Bad Gateway errors
				Troubleshoot missing Operator in the OperatorHub		modules/ols-operator-missing-from-operatorhub-list.adoc	FALSE	Troubleshoot missing Operator in OperatorHub
				Troubleshoot API authentication failures		modules/ols-troubleshoot-api-authentication-failures.adoc	FALSE	Troubleshoot API authentication failures
				Troubleshoot rejected Google Vertex AI configurations		modules/ols-ref-google-vertex-ai-configuration-resource-is-rejected.adoc	FALSE	Troubleshoot rejected Google Vertex AI configurations
	Troubleshoot AI model responses and token limits					troubleshoot/ols-troubleshoot-model-responses.adoc	TRUE	Troubleshoot model responses and token limits
				Suppress reasoning model delineator tags		modules/ols-reasoning-model-generates-delineator-prompt.adoc	FALSE	Suppress reasoning model delineator tags
				Resolve prompt is too long errors		modules/ols-proc-error-prompt-is-too-long.adoc	FALSE	Resolve prompt is too long errors
				Resolve truncated model responses		modules/ols-proc-resolving-truncated-responses.adoc	FALSE	Resolve truncated model responses
				Resolve conversation history truncation		modules/ols-proc-resolving-issues-with-conversation-history.adoc	FALSE	Resolve conversation history truncation
